name_7400#0,"""Dualdre"""
ssn_014275_0001#0,"""Alright, let's get started."""
ssn_014275_0101#0,"""...Mm? Doesn't look like your Class is Bouncer."""
ssn_014275_0102#0,"""Gonna have to get you to sign up as a Bouncer at the Class Counter first. Gets the formalities out of the way, y'know?"""
ssn_014275_0103#0,"""While you're there, give Bouncer's Class Skills a good looking-over. Commit 'em to memory."""
ssn_014275_0104#0,"""But hey, I might as well tell you what the Class is all about while you're here."""
ssn_014275_0201#0,"""Bouncers are a Class geared toward excelling at short- to mid-range combat."""
ssn_014275_0202#0,"""We're especially good at aerial combat, using our weapons and Techniques to float like a butterfly, sting like a bee."""
ssn_014275_0203#0,"""We're also good at triggering Physical Downs and Attribute Downs to swing battles in our favor."""
ssn_014275_0204#0,"""Just like any other class, Class Skills are your bread and butter. First, you should master \""Elemental Decline\""."""
ssn_014275_0205#0,"""I'll give you this assignment for now, so go try it out."""
