name_7211#0,"""Xiandy"""
ssn_019020_002_0001#0,"""Gracias por venir. Me gustaría volver a presentarme."""
ssn_019020_002_0002#0,"""I'm Xiandy. Estoy estudiando los diversos fenómenos peculiares que ocurren en Halpha."""
ssn_019020_002_0003#0,"""Me he puesto en contacto contigo porque me gustaría que me ayudaras en mis investigaciones sobre estos fenómenos."""
ssn_019020_002_0004#0,"""Muchas gracias por venir."""
ssn_019020_002_0005#0,"""Me gustaría que volviera a investigar para mí..."""
ssn_019020_002_0101#0,"""¿Conoce las revistas regionales? Suelen cambiar de aspecto en esta época del año."""
ssn_019020_002_0102#0,"""También hay materiales de recolección que sólo se pueden obtener en esta época..."""
ssn_019020_002_0103#0,"""Quiero saber qué efectos pueden tener esos materiales si se entregan a los Mags Regionales en su estado actual."""
ssn_019020_002_0104#0,"""En primer lugar, ¿podrías recoger estos materiales?"""
ssn_019020_002_0105#0,"""Tenemos preparadas recompensas especiales a cambio de tu ayuda."""
ssn_019020_002_0106#0,"""Te dejaré el resto a ti."""
ssn_019020_002_0006#0,"""Welcome back! Gracias a ti, hemos obtenido grandes datos."""
ssn_019020_002_0007#0,"""Aunque son muchos los misterios que rodean a los Mags Regionales, estos datos nos ayudarán a descifrarlos."""
ssn_019020_002_0008#0,"""Otros investigadores parecen estar interesados en su trabajo también."""
ssn_019020_002_0009#0,"""¡Te los presentaré la próxima vez!"""
ssn_019020_002_0010#0,"""Muchas gracias por ayudarnos en esta ocasión."""
ssn_019020_002_0011#0,"""Puedes cambiar tus puntos por recompensas, así que avísame si necesitas algo"""
ssn_019020_002_0012#0,"""Tu ayuda continua con nuestras encuestas e investigaciones será muy apreciada."""
ssn_019020_002_0013#0,"""Espero seguir trabajando con usted."""
ssn_019020_002_0014#0,"""Estamos investigando cuidadosamente los recientes cambios del enemigo."""
ssn_019020_002_0015#0,"""Cualquier dato que pueda obtener será muy apreciado, no importa lo trivial que sea."""
npc_menu_0001#0,"""Aceptar tareas de eventos"""
npc_menu_0002#0,"""Intercambiar puntos de temporada por objetos"""
npc_menu_0003#0,"""Aprender sobre los eventos de temporada"""
npc_menu_0004#0,"""Close Menu"""
npc_menu_0005#0,"""Acerca de los eventos de temporada"""
npc_menu_0006#0,"""Acerca de los enemigos de temporada"""
npc_menu_0007#0,"""Acerca de los personajes de los eventos de temporada"""
npc_menu_0008#0,"""Acerca de las tareas diarias/semanales adicionales"""
npc_menu_0009#0,"""Acerca de los símbolos de travesura"""
npc_menu_0010#0,"""Acerca de la Reunión Estacional"""
npc_menu_0011#0,"""Acerca de las revistas regionales de temporada"""
npc_menu_0012#0,"""No preguntes nada"""
