msc_023190_0010#0,"""อยู่นี่เอง!"""
msc_023190_0020#0,"""บรูเดอร์ (Bruder)!!"""
msc_023190_0030#0,"""(เสียงจอแจ: ทหารฝึกหัดในหน่วยของไอน่า ⑥)"""
msc_023190_0040#0,"""ครูฝึกบรูเดอร์ (Bruder)..."""
msc_023190_0050#0,"""รัน (Ran) เล่าเรื่องทั้งหมดให้ฉันฟังแล้วล่ะ"""
msc_023190_0060#0,"""ดีใจที่ได้เห็นพวกเธอทุกคนกลับมาอย่างปลอดภัยนะ"""
msc_023190_0070#0,"""หืม..."""
msc_023190_0080#0,"""ตอนนี้พวกเธอทุกคนมีแววตาของนักรบที่ผ่านศึกมาอย่างโชกโชนแล้วนะ"""
msc_023190_0090#0,"""พวกเธอทุกคนทำได้ดีมากที่รอดจากการต่อสู้อันดุเดือดมาได้"""
msc_023190_0100#0,"""ไอน่าทำตัวได้สมกับเป็น<br>ครูฝึกที่แท้จริงแล้ว ภายในเวลาอันสั้นด้วย"""
msc_023190_0110#0,"""ความแข็งแกร่งที่แท้จริงของไอน่าอยู่ที่ความสามารถ<br>ในการซึมซับความรู้และนำมาปรับใช้นี่แหละ"""
msc_023190_0120#0,"""เหมือนกับตอนที่เธอเรียนรู้<br>วิธีการต่อสู้มาจากการเฝ้าดูเธอและมาน่อนนั่นแหละ"""
msc_023190_0130#0,"""และครั้งนี้ในฐานะครูฝึก เธอได้เรียนรู้วิธีการเป็น<br>ผู้นำ และนำความรู้นั้นมาใช้ให้เกิดผลเป็นรูปธรรม"""
msc_023190_0140#0,"""ไอน่ามักจะทำให้ฉันทึ่งได้เสมอเลยจริงๆ"""
msc_023190_0150#0,"""ฉันรู้ดีว่าตัวฉันเองก็คงทำแบบที่เธอทำไม่ได้หรอก"""
msc_023190_0160#0,"""อืม เธอเป็นสมาชิก ARKS ที่โดดเด่นมากเลยล่ะ"""
msc_023190_0170#0,"""อืม มีไม่กี่คนหรอกที่ทำได้น่ะ"""
msc_023190_0180#0,"""เธอเป็นคนเข้มแข็งน่ะ"""
msc_023190_0190#0,"""เธอรักษาระเบียบวินัยของตัวเองในขณะที่ให้ความสำคัญกับคนรอบข้างด้วย"""
msc_023190_0200#0,"""และด้วยความมุ่งมั่นที่ไม่ยอมแพ้อย่างเธอ<br>เธอจึงไม่ยอมหวั่นไหวเมื่อต้องเผชิญกับความยากลำบากใดๆ"""
msc_023190_0210#0,"""นั่นคงเป็นเหตุผลที่ทำให้ผู้คนเข้าถึงเธอได้เป็นอย่างดีล่ะนะ"""
msc_023190_0220#0,"""ฉันเองก็ตั้งตารอที่จะได้เห็นการเติบโตของเธอหลังจากนี้เหมือนกัน"""
msc_023190_0230#0,"""สักวันหนึ่ง เธออาจจะก้าวข้ามกาโรอา (Garoa) พ่อของเธอเลยก็ได้นะ"""
