msc_023200_0010#0,"""เอ๊ะ? มาที่นี่อีกแล้วเหรอ?"""
msc_023200_0020#0,"""มาเล่าเรื่องให้คุณพ่อฟังเหรอ?"""
msc_023200_0030#0,"""วันนี้ไม่ถอนหายใจแล้วเหรอ?"""
msc_023200_0040#0,"""เรื่องอนาคตในฐานะครูฝึก (Instructor) น่ะสิ"""
msc_023200_0050#0,"""บอกคุณพ่อไปว่าตอนแรกมันยากแค่ไหน<br>แต่ตอนนี้คิดว่าน่าจะทำได้แล้วล่ะ"""
msc_023200_0060#0,"""วันนี้ไม่อ่ะ!"""
msc_023200_0070#0,"""กำลังบอกคุณพ่ออยู่พอดีเลยว่าคิดว่า<br>น่าจะทำหน้าที่ครูฝึก (Instructor) ได้แล้วล่ะ"""
msc_023200_0080#0,"""ที่สำคัญกว่านั้น ยังไม่ได้<br>ขอบคุณอย่างเป็นทางการเลยใช่ไหม?"""
msc_023200_0090#0,"""ขอบคุณนะ<br>ที่ช่วยทั้งฉันและพวกเด็กใหม่เอาไว้น่ะ"""
msc_023200_0100#0,"""เธอนั่นแหละที่สมควรได้รับคำชมที่สุด"""
msc_023200_0110#0,"""คงทำไม่สำเร็จถ้าไม่มีความร่วมมือจากทุกคนหรอกนะ"""
msc_023200_0120#0,"""คือ ก็ใช่อยู่หรอกว่าตอนนั้นทุ่มเทสุดตัวเลย"""
msc_023200_0130#0,"""แต่ถ้าเธอไม่ปรากฏตัวมาล่ะก็<br>สถานการณ์คงจะเลวร้ายกว่านี้มากๆ แน่เลยล่ะ"""
msc_023200_0140#0,"""นั่นก็จริง<br>ภูมิใจในตัวพวกเขามากเลยล่ะ"""
msc_023200_0150#0,"""ทุกอย่างผ่านไปด้วยดีก็เพราะว่ามีเธออยู่ตรงนั้นนั่นแหละ"""
msc_023200_0160#0,"""<%me> คอยช่วยเหลือมาตลอดเลยนะ"""
msc_023200_0170#0,"""แบบว่า เธอมักจะคอยช่วยเหลือเสมอเวลาที่ฉันทำอะไรเกินตัวน่ะ"""
msc_023200_0180#0,"""แล้วก็ยังคอยให้กำลังใจเวลาที่รู้สึกเศร้าด้วย"""
msc_023200_0190#0,"""เธอคอยอยู่เคียงข้างเสมอ ก็เลยรู้สึกว่า<br>นั่นเป็นเหตุผลที่ทำให้ฉันสามารถทุ่มเทเต็มที่ต่อไปได้น่ะ"""
msc_023200_0200#0,"""...จะคอยอยู่เคียงข้างกันตลอดไปใช่ไหม?"""
msc_023200_0210#0,"""...อ๊ะ--"""
msc_023200_0220#0,"""ม-ไม่ใช่สิ เดี๋ยวก่อน...!"""
msc_023200_0230#0,"""ลืมประโยคสุดท้ายนั่นไปซะเถอะ!"""
msc_023200_0240#0,"""ม-ไม่ได้หมายความแบบแปลกๆ นะ เข้าใจไหม!"""
msc_023200_0250#0,"""ค-แค่หมายความว่าแบบ...<br>มาทำงานร่วมกันเคียงบ่าเคียงไหล่กันต่อไปเถอะนะ"""
msc_023200_0260#0,"""ในฐานะ ARKS ที่คอยปกป้องฮาลฟา (Halpha) น่ะ เข้าใจไหม?"""
msc_023200_0270#0,"""เห็นด้วยอย่างยิ่งเลยล่ะ"""
msc_023200_0280#0,"""ตลอดไปเลยงั้นเหรอ?"""
msc_023200_0290#0,"""ดีล่ะ"""
msc_023200_0300#0,"""ด-ด-เดี๋ยวก่อนๆๆ!!<br>โอย ให้ตายสิ... อย่ามาแซวกันแบบนี้นะ!"""
msc_023200_0310#0,"""เอาเถอะ ยังไงก็พูดสิ่งที่อยากพูดไปหมดแล้วล่ะ<br>มาพยายามให้เต็มที่กันเถอะ!"""
