name_7449#0,"""Shioji"""
ssn_015510_0001#0,"""โย่! ดูแลอุปกรณ์ของตัวเองดีอยู่ไหม?"""
ssn_015510_0002#0,"""ไม่ว่า ARKS จะเก่งแค่ไหน แต่ถ้าอุปกรณ์พังยับเยินก็สู้ได้ไม่เต็มที่หรอกนะ"""
ssn_015510_0003#0,"""จงคิดซะว่าอุปกรณ์เป็นคู่หูที่สำคัญที่สุดของเธอ แล้วก็ดูแลมันให้ดีซะล่ะ"""
ssn_015510_0101#0,"""กำลังอยากเจอ ARKS แบบเธออยู่พอดีเลย"""
ssn_015510_0102#0,"""ฉันชื่อ Shioji เป็นนักวิจัยอุปกรณ์อยู่ที่ Stia นี่ล่ะ"""
ssn_015510_0103#0,"""สนใจจะนั่งพักสักหน่อยแล้วฟังคำแนะนำจากฉันไหมล่ะ?"""
ssn_015510_0201#0,"""อยากให้ช่วยรวบรวมข้อมูลแร่ที่ชื่อ 'Hexakite' หน่อย"""
ssn_015510_0202#0,"""เขาว่ากันว่าหาได้ที่ Outer Mediola: Sector 2 น่ะ ขอบใจอีกครั้งนะ"""
ssn_015510_0301#0,"""อ้อ ยุ่งอยู่สินะ ไว้มีเวลาว่างก็บอกละกัน"""
ssn_015510_0401#0,"""กลับมาแล้วเหรอ! เอาล่ะ วางไว้ตรงนี้เลย เดี๋ยวฉันจะเริ่มสแกนละนะ"""
ssn_015510_0402#0,"""...หืมๆ... อย่างนี้นี่เอง"""
ssn_015510_0403#0,"""อย่างที่คิดไว้เลย โครงสร้างแร่นี้ต่างจากที่เจอใน Aelio มากเลยแฮะ"""
ssn_015510_0404#0,"""เราอาจจะใช้พวกมันมาปรับแต่งอุปกรณ์ใหม่ได้ด้วยนะเนี่ย"""
ssn_015510_0405#0,"""เดี๋ยวฉันจะไปแจ้งแผนกเทคโนโลยี ให้พวกเขาใช้ข้อมูลนี้ไปปรับปรุงอุปกรณ์ของเราซะหน่อย"""
ssn_015510_0406#0,"""ดูเหมือนว่าที่ Stia จะมีแร่ที่มีประโยชน์อยู่เยอะเลยนะ"""
ssn_015510_0407#0,"""เอาล่ะ! จิตวิญญาณนักวิจัยในตัวฉันเริ่มลุกโชนแล้วสิ!"""
ssn_015510_0408#0,"""ได้ข้อมูลล้ำค่ามาเพราะเธอแท้ๆ เลย"""
ssn_015510_0409#0,"""ขอบใจนะ หวังว่าจะพึ่งพาเธอได้อีกถ้ามีเรื่องอะไรเข้ามา"""
ssn_015510_1001#0,"""ที่ Stia แห่งนี้ ทุกวันคือการต่อสู้"""
ssn_015510_1002#0,"""ถ้าอุปกรณ์ของเธอไม่อยู่ในสภาพสมบูรณ์ล่ะก็ ต่อให้มีกี่ชีวิตก็ไม่พอหรอก"""
ssn_015510_1101#0,"""ไง! ได้ยินมาว่าเธอมีส่วนสำคัญมากในศึกครั้งที่แล้วนี่"""
ssn_015510_1102#0,"""ด้วยฝีมือระดับเธอแล้ว ฉันเลยมีเรื่องอยากจะไหว้วานอีกสักหน่อย"""
ssn_015510_1103#0,"""จะลองพิจารณาดูหน่อยไหม?"""
ssn_015510_1201#0,"""'Inferium' สามารถหาเก็บได้ที่ Outer Mediola: Sector 1"""
ssn_015510_1202#0,"""มีข่าวลือว่ามันจะหาได้เฉพาะตอนที่สภาพอากาศเป็นใจเท่านั้นนะ"""
ssn_015510_1203#0,"""รู้ว่ามันอาจจะลำบากไปหน่อย แต่ถ้าเป็นเธอล่ะก็ ฉันเชื่อว่าจะต้องทำสำเร็จแน่"""
ssn_015510_1301#0,"""อ้าว งั้นเหรอ... เปลี่ยนใจเมื่อไหร่ก็กลับมานะ!"""
ssn_015510_1401#0,"""อ้าว กลับมาแล้วเหรอ ขอเริ่มสแกนข้อมูลเลยนะ"""
ssn_015510_1402#0,"""...อืม นี่สินะ 'Inferium'... ของจริงนี่สุดยอดกว่าข่าวลือซะอีก!"""
ssn_015510_1403#0,"""นี่มันแข็งแกร่งที่สุดเท่าที่เคยเห็นมาเลย แถมดูเหมือนจะหลอมรวมกับแร่อื่นๆ ได้ด้วยนะ!"""
ssn_015510_1404#0,"""อ๊าก แค่คิดว่าจะเอามันไปใช้ทำอะไรได้บ้างก็ตื่นเต้นแล้ว!"""
ssn_015510_1405#0,"""อุปกรณ์ที่สร้างจากเจ้านี่ต้องเป็นของระดับท็อปในตลาดแน่ๆ"""
ssn_015510_1406#0,"""ฮ่า! พวกแผนกเทคโนโลยีเห็นแล้วต้องอ้าปากค้างแน่ๆ!"""
ssn_015510_1407#0,"""...!! อะแฮ่ม! ...ขอโทษทีนะ... ไม่ได้ตื่นเต้นจนหลุดอาการแบบนี้มาพักใหญ่แล้วน่ะ"""
ssn_015510_1408#0,"""ขอบใจนะ เธอช่วยฉันไว้มากจริงๆ"""
ssn_015510_1501#0,"""การค้นพบแร่ใหม่ๆ มักจะนำไปสู่การพัฒนาอุปกรณ์ของเราเสมอ"""
ssn_015510_1502#0,"""พอคิดว่าแร่ของ Stia จะเอาไปทำอะไรได้บ้าง ฉันก็รู้สึกตื่นเต้นเหมือนกลับไปเป็นเด็กอีกครั้งเลย"""
ssn_015510_1503#0,"""การใช้ชีวิตที่ Stia มันไม่ง่ายเลย แต่จากก้นบึ้งของหัวใจ ฉันพูดได้เลยว่าดีใจจริงๆ ที่ได้มาที่นี่"""
