name010#0,"""Гароа"""
text010#0,"""Они прибывают! Защитим город!"""
Text_PA#0,"""Фотон Арт(РА): """
Text_TEC#0,"""Техника: """
Button_PATEC#0,"""<%PhotonArts>"""
Text_WA#0,"""Действие оружия: """
Button_WA#0,"""<%MainPaletteC>"""
Text_ura_PATEC#0,"""Обратная палитра\u3000"""
Text_ura_PA#0,"""Фотон Арт: """
Text_ura_TEC#0,"""Техника: """
xx1#0,"""<%WeaponAction_2><pict 4space> во время удерживания <pict 4space><%NormalAttack>"""
xx2#0,"""На обратную палитру <pict 4space><%PhotonArts>"""
Text_item#0,"""Использовать предмет: """
Button_item_Pad#0,"""<%SubPalette>"""
Button_item_Key#0,"""<%SubPalette1>"""
Text_Lock#0,"""Взять в прицел: """
Button_Lock#0,"""<%LockOn>"""
Text_ura_hold#0,"""На обратную палитру: """
Text_ura_push#0,"""Смена палитры: """
Button_ura_hold#0,"""Удерживайте <pict 4space><%WeaponAction_2>"""
Button_ura_push#0,"""<%WeaponAction_2>"""
