name01#0,"""Xiera"""
text01#0,"""The Dual Blade Weapon Action also creates <red>\""Photon Blades\""<c> when you use it."""
text02#0,"""Try using the Weapon Action to hit an enemy with Photon Blades."""
text101#0,"""Task 3: <yellow>Photon Blades"""
train_title#0,"""Task 3: <yellow>Photon Blades"""
tut_title#0,"""Photon Blades"""
text100#0,"""・Use <%WeaponAction> and hit the enemy with<br>\u3000Photon Blades"""
text100_3b#0,"""・Use <%MainPaletteC> and hit the enemy with<br>\u3000Photon Blades"""
tut_win_title#0,"""Dual Blade Gear"""
tut_win_text100#0,"""If you have learned the Class Skill \""Dual Blade Gear\"", a Gear Gauge will be added to the top of your Main Palette.<br><br>The Gear Gauge fills when you hit enemies with Dual Blade attacks."""
tut_win_text101#0,"""By performing a Weapon Action, you can fire Photon Blades towards the target.<br><br>Attacking the part where Photon Blades have stuck into the enemy will restore additional PP and increase the amount of Gear you gain."""
