name01#0,"""Xiera"""
text01#0,"""Jet Boots can perform special moves called <red>Shift Actions<c> by pressing the Weapon Action button during an attack!"""
text02#0,"""Try activating the normal Shift Action by <red>pressing the Weapon Action button during a Normal Attack<c>!"""
text101#0,"""Task 4: <yellow>Activate a Shift Action"""
train_title#0,"""Task 4: <yellow>Activate a Shift Action"""
tut_title#0,"""Shift Actions"""
text100#0,"""・Use a Normal Attack with <%NormalAttack><br>・Activate a Shift Action by<br>\u3000pressing <%WeaponAction> during a normal<br>\u3000attack"""
text100_3b#0,"""・Use a Normal Attack with <%NormalAttack><br>・Activate a Shift Action by<br>\u3000pressing <%MainPaletteC> during a normal<br>\u3000attack"""
tut_win_title#0,"""Shift Actions"""
tut_win_text100#0,"""Jet Boots Normal Attacks and Photon Arts can switch moves into a Shift Action if you press the Weapon Action button during them.<br><br>Normal Attacks become \""Rolling Kick\""."""
tut_win_text101#0,"""Some PAs' Shift Actions will automatically cast a charged support Technique, if you have learned that Technique."""
