name01#0,"""Xiera"""
11_voice_train_04001#0,"""Hello! This is the \""Bouncer Basics\"" training course."""
text02#0,"""Let's start off by learning about <red>Just Attacks<c>!"""
text03#0,"""A red circle appears after using Normal Attacks and Photon Arts. Just Attack means <red>timing your attack<c> to that circle!"""
text04#0,"""Use a Normal Attack, and time a Photon Art to the red circle that follows!"""
text101#0,"""Task 1: <yellow>Just Attack a Photon Art"""
train_title#0,"""Task 1: <yellow>Just Attack a Photon Art"""
tut_title#0,"""Just Attacks"""
text100#0,"""・Use a Normal Attack with <%NormalAttack><br>・When you see the red circle,<br>\u3000use a Photon Art with <%PhotonArts>"""
text100_3b#0,"""・Use a Normal Attack with <%NormalAttack><br>・When you see the red circle,<br>\u3000use a Photon Art with <%PhotonArts>"""
tut_win_title#0,"""Just Attacks"""
tut_win_text100#0,"""\""Just Attacks\"" deal more damage than normal.<br><br>By <c 00ffff>pressing the attack button when you see the red circle<c>, your attack becomes a Just Attack.<br><br><c 00ffff>※This also applies to Photon Arts and Techniques<c><br><br><c ff3300>※Pet attacks cannot be Just Attacks.<c>"""
