name_7211#0,"""Xiandy"""
ssn_019002_0001#0,"""ขอบคุณที่มานะ ขอแนะนำตัวอีกครั้ง"""
ssn_019002_0002#0,"""อย่างที่บอกไป ฉันชื่อ Xiandy ฉันกำลังศึกษาปรากฏการณ์แปลกๆ ต่างๆ ที่เกิดขึ้นทั่ว Halpha"""
ssn_019002_0003#0,"""ที่เรียกเธอมาที่นี่ก็เพราะฉันต้องการความช่วยเหลือจากเธอในการสืบสวนปรากฏการณ์ที่กำลังเกิดขึ้นอยู่ตอนนี้"""
ssn_019002_0101#0,"""ขอบคุณมากๆ เลย ฉันได้รับข้อมูลจากการต่อสู้กับ Pedas Vera ของเธอแล้ว"""
ssn_019002_0102#0,"""ด้วยข้อมูลนี้ งานของเราก็เริ่มได้อย่างจริงจังเสียที เราจะใช้ข้อมูลที่เธอส่งมาเพื่อเดินหน้าสืบสวนเกี่ยวกับศัตรูพวกนี้ต่อไป"""
ssn_019002_0103#0,"""ข้อมูลใดๆ ไม่ว่าจะดูเล็กน้อยแค่ไหน หากนำมาวิเคราะห์อย่างรอบคอบก็อาจเป็นประโยชน์ต่อการต่อสู้ในอนาคตได้"""
ssn_019002_0104#0,"""ฉันหวังว่า ARKS จะกลับมาจากสนามรบอย่างปลอดภัยให้ได้มากที่สุดเท่าที่จะทำได้..."""
ssn_019002_0105#0,"""เธอสามารถนำแต้มที่ได้รับไปแลกเป็นรางวัลได้นะ บอกฉันได้เลยว่าต้องการอะไร"""
ssn_019002_0106#0,"""ฉันจะรู้สึกขอบคุณมากถ้าเธอช่วยส่งข้อมูลการต่อสู้กับศัตรูที่มีสัญลักษณ์ Season Symbol มาให้ฉันเรื่อยๆ"""
ssn_019002_0107#0,"""ขอบคุณสำหรับความช่วยเหลือนะ"""
npc_menu_0001#0,"""รับ Event Task"""
npc_menu_0002#0,"""แลกเปลี่ยน Seasonal Point เป็นไอเทม"""
npc_menu_0003#0,"""ปิดเมนู"""
