11_voice_NPC_5022_103#0,"""Argh, I can't believe this! I got this awesome weapon, but I don't have the skill to equip it!"""
11_voice_NPC_5022_104#0,"""I wish they'd just let us learn all the skills at once, instead of limiting it like this. Maybe our bodies just can't handle it?"""
11_voice_NPC_5022_105#0,"""It's a pain in the butt waiting until we have enough experience to learn skills, but what are you gonna do?"""
Reda_03_020#0,"""I heard there was a big accident way back when people had more freedom.<br>...I guess it makes sense."""
11_voice_NPC_5022_107#0,"""You know, these Mags are quite strange. They eat anything, and even help you out. I wonder how they work."""
11_voice_NPC_5022_105#1,"""These Darkers, you defeat 'em and defeat 'em and they still keep sprouting, but where on earth do they come from?"""
11_voice_NPC_5022_100#0,"""So do you know about this? That pop idol that's popular amongst the common folk."""
Reda_06_020#0,"""There aren't a lot of people talking about her on the ARKS lobby, of course. But it sounds like she's super popular."""
Reda_06_030#0,"""She's gotta be REALLY pretty. Maybe I'll get to meet her one day."""
11_voice_NPC_5022_101#0,"""Hey, have you heard the news? About that pop idol, of course!"""
Reda_07_020#0,"""They're saying she might pay us a visit! Oh, man, I can't wait!"""
11_voice_NPC_22_101#0,"""Dark Falz being revived is awful, but another awful thing happened!"""
Reda_mb9_020#0,"""What, you ask? I mean, you know! That idol, Quna's gig! Don't you know anything?!"""
Reda_mb9_030#0,"""I hear it's an epic battle to get tickets! Like seriously!"""
11_voice_NPC_5022_109#0,"""Ahh... I couldn't get a ticket for the live event. It's the end of the world for me."""
11_voice_NPC_5022_105#2,"""These Darkers, you defeat 'em and defeat 'em and they still keep sprouting, but where on earth do they come from?"""
11_voice_NPC_5022_103#1,"""Seriously, Darkers, get with the program! All this beautiful water around, but we can't swim because of you! Such a waste..."""
11_voice_NPC_5022_104#1,"""Man, the hostiles on Planet Wopal sure are creepy. They're definitely not normal, for sure."""
11_voice_NPC_5022_104#2,"""These Darkers, you defeat 'em and defeat 'em and they still keep sprouting, but where on earth do they come from?"""
11_voice_NPC_5022_104#3,"""Man, the hostiles on Planet Wopal sure are creepy. They're definitely not normal, for sure."""
11_voice_NPC_5022_104#4,"""These Darkers, you defeat 'em and defeat 'em and they still keep sprouting, but where on earth do they come from?"""
11_voice_NPC_5022_102#0,"""なんつーか、とんでもねーことに<br>いつの間にか巻き込まれてたんだな。<br>たまったもんじゃねーぜ、ホント。"""
11_voice_NPC_5022_100#1,"""ヤベーよ、ヤベー！<br>今まで気にはなってたけど<br>カジノ行ってみたらまじヤベー！"""
11_voice_NPC_5022_101#1,"""お前はもう行ったか？<br>行ってないんだったら早く行ってこい！<br>ヤバいぜヤバいぜ、マジヤバいぜ！"""
11_voice_NPC_5022_105#3,"""なんつーかさ、ダーカーって全然<br>いなくなんねーよな！"""
11_voice_NPC_5022_103#2,"""すっげー倒してんのに<br>全然いなくなんねーの。<br>ヤベーよな！"""
11_voice_NPC_5022_107#1,"""ダークファルスに喰われて<br>出てきたってすげーな……"""
11_voice_NPC_5022_100#2,"""さすがお前だよなあ。<br>やっぱすげーや！"""
11_voice_NPC_5022_100#3,"""もう大丈夫なのか？<br>お前大変だったんだってな！"""
Reda_mb23_after_020#0,"""いろいろ問題が起きてるみてーだけど<br>まずは身体をいたわれよ、な！"""
11_voice_NPC_5022_100#4,"""よう、大変だったな！<br>でもさっすがお前だよな！<br>やっぱすげーや！"""
11_voice_NPC_5022_100#5,"""よっ、戻ってきたんだってな！<br>おれら的には久々だけど<br>お前にとっては一瞬なんだろうな。"""
st01_020#0,"""ま、細かいことは気にせずに<br>これからもよろしく頼むぜ。な。"""
11_voice_NPC_5022_100#6,"""相変わらず忙しそうだな！<br>今度はどんな面倒事に<br>巻き込まれちまってるんだ？"""
11_voice_NPC_5022_102#1,"""地球、マジでやべぇな。<br>アークスに敵対してくるって<br>どんだけなんだよ。"""
st01_020#1,"""敵の目的がイマイチわかんねーってのは<br>なんとも怖い話だよな。マジでマジで。"""
11_voice_NPC_5022_100#7,"""地球、大したことなかったな。<br>まぁ、アークスにかかれば<br>こんなもんだよな。マジでマジで。"""
11_voice_NPC_5022_100#8,"""なんだかすごい作戦はじまるんだろ？<br>ウデに自信のあるやつらが<br>こぞって準備始めてたぜ。"""
11_voice_NPC_5022_100#9,"""よー、行方不明だったんだってな！<br>情報規制しかれてたけど、他の奴等の<br>慌ただしさでバレバレだったぜ。"""
11_voice_NPC_5022_100#10,"""アークスの風向き、よさげだな！<br>このままぜーんぶ片付いちまって<br>欲しいもんだぜ！"""
11_voice_NPC_5022_107#2,"""There's an ominous wind blowing round here. Is it cause of that Goddess of Demise? Even I could tell she's bad news."""
11_voice_NPC_5022_105#4,"""...Can we even win? Photons can't scratch her, right?"""
11_voice_NPC_5022_107#3,"""For real, those guys are dangerous! They're strong as heck!"""
11_voice_NPC_5022_105#5,"""If they come anywhere near me, I'm outta there! They're super, super, SUPER dangerous!"""
11_voice_NPC_5022_109#1,"""Ah, man... What am I supposed to do?"""
ep6_sq01_02#0,"""...People keep telling me to calm down, but it's natural to be nervous, right? Right?!"""
11_voice_NPC_5022_107#4,"""For real?! Xiao's seriously back?!"""
11_voice_NPC_5022_100#11,"""That's amazing! For real! Now we can finally do something about those guys, right?! Right?!"""
11_voice_NPC_5022_100#12,"""マジかよっ！\u3000マジなのかよっ！<br>あんなやべーやつに勝てるなんて！<br>すげーじゃん！\u3000すごすぎるじゃん！"""
text02#0,"""これで平和になったんだな、な！<br>いやホントにすげーよ、マジでマジで！"""
