name010#0,"""Guiden """
name020#0,"""Bruder """
text010#0,"""Sube los escalones mientras tomas los brillantes Point Cubes."""
Text_Dash#0,"""Dash; """
Button_Dash_Pad#0,"""presione y mantenga <%Avoid>"""
Button_Dash_Key#0,"""Presione la tecla mover dos veces"""
Button_Dash_Key2#0,"""Mantén presionado el segundo Dash"""
Text_DashJump#0,"""Dash Jump; """
Button_DashJump#0,"""Presione <%Jump> mientras corre"""
Text_DoubleJump#0,"""Double Jump; """
Button_DoubleJump#0,"""Presione <%Jump> mientras salta"""
