Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci3 1 내 탓으로 돌리지 마!<br>적 한가운데에 돌진한 건<br>어디에 사는 누구더라?"""
Success#1,"""/ci2 1 헷, 이몸 혼자서라도 충분했지만<br>뭐, 도움이 됐다고 하면 된 거지.<br>고맙다."""
Failure#1,"""/ci4 1 실화냐… 정말 한심하군…<br>젠장! 먼저 물러나도록 하지!"""
Dead#1,"""어떻게 돼먹은 거야, 젠장…!"""
BuddyDead#1,"""옷, 뭐야, 벌써 뻗었냐?<br>뒤는 우리들에게 맡기고 드르렁 하고 있어!"""
Begin#2,"""/ci2 2 쓸데없는 말 하지 말라고!<br>그보다 어차피, 쫄병 상대잖아?<br>이몸이 전부 정리해주지!"""
Success#2,"""/ci2 2 그니까 쓸데없는 말 하지 말라니까!<br>정말이지-…!<br>이봐, 후딱 가자고!"""
Failure#2,"""/ci3 2 칫, 쪽팔린 결과구만…"""
Dead#2,"""/mn5 젠장…<br>반드시 되갚아줄테니까!"""
BuddyDead#2,"""/mn18 어이어이, 실화냐고!<br>…할 수 없지 쉬고 있어, 이츠키!<br>뒤는 어떻게든 해줄랑게!"""
Begin#3,"""/ci2 2 알아먹기 힘든 말 지껄이지 마!<br>별로 나는, 받기만 할 뿐이라는게<br>맘에 안드는 것 뿐이야!"""
Success#3,"""/ci2 2 정말 귀찮게도 돌려말하는구만…<br>뭐, 좋아…<br>혼자 찾는다 해도 모르니까."""
Failure#3,"""/ci3 2 칫, 이럴 리가…<br>최악이구만…!"""
Dead#3,"""/mn5 젠장…!<br>이런 곳에서…!"""
BuddyDead#3,"""/mn18 어이, 무리하지 마!<br>나 참, 뒤는 우리들께 맡겨!"""
