text00#0,"""What would you like to know?"""
text01#0,"""What is \""Gathering\""?"""
text02#0,"""What is \""Cuisine\""?"""
text03#0,"""What are \""Combo & Combo Fever\""?"""
text04#0,"""What are \""Achievements & Levels\""?"""
text06#0,"""Leave"""
Title#0,"""Gathering information"""
text01#1,"""\""Gathering\"" refers to the collection of materials obtained from \""Harvesting\"" and \""Fishing\"".<br><br>By taking these materials to \""Franka's Cafe\"", you can obtain <yellow>Skill Rings<c> and <yellow>Cuisine Food<c>."""
text02#1,"""<green>■ Harvesting<c><br>・By visiting a \""Harvesting Spot\"", you can collect materials such as <yellow>ore<c> and <yellow>minerals<c>, as well as <yellow>cuisine ingredients<c>.<br>※By Harvesting, you will consume <green>Harvesting Stamina<c>.<br><br><c 00ffff>■ Fishing<c><br>・By visiting a \""Fishing Spot\"", you can collect <yellow>fish<c> and other sea creatures required for Cuisine Food.<br>※By Fishing, you will consume <c 00ffff>Fishing Stamina<c>."""
text04#1,"""■ Stamina Recovery<br>\u3000\u3000・Your stamina will <yellow>recover automatically over time<c>, however you can instantly recover stamina by using Star Gems.<br><br>■ \""Master & Good\"" Items<br>\u3000\u3000・In addition to the usual options during \""Fishing\"" and \""Harvesting\"", you can <yellow>increase the rate of certain materials<c> by selecting the \""Good\"" or \""Master\"" items."""
Title#1,"""Gathering Cuisine information"""
text01#2,"""By using cooked food items, you can gain temporary special effects, such as the following:<br><br>Example<br><green>Forest Tomato Salad<c><br>・Vegetable acquisition and additional harvest<br> rates slightly increased while harvesting<br><br><green>Tokyo Style Burger<c><br>・Immediately recover HP<br><br><yellow>※Cooked items can be set to the Subpalette<c>"""
text02#2,"""As you achieve <yellow>Gathering Achievements<c>, you will get recipes for new dishes, and the <green>Culinary Shop's<c> menu will expand.<br><br>While a food effect is active, if you use another dish, it will overwrite the previous effect."""
Title#2,"""Combo & Combo Fever information"""
text01#3,"""<c 00ffff>Combos<c><br>When you Harvest or Fish continuously, a combo will start.<br><br>As you continuously increase your combo, a chance for a Fever will also increase.<br><br>Fishing or Harvesting at a gathering spot until it's depleted will also increase your combo."""
text02#3,"""<c 00ffff>Fever<c><br>While you are Harvesting and/or Fishing, a Fever may occur.<br><br>During a Fever, chances of getting rare material increases, as well as the amount of materials gained.<br>Additionally, the gathering spot will have unlimited attempts for the duration of the Fever."""
text03#1,"""When the Fever or Combo ends, you will be awarded EXP based on the number of combos achieved.<br><yellow>※There is a limit to how much EXP is awarded.<c>"""
text00#1,"""Achievements & Levels information"""
text01#4,"""When certain conditions are met while Harvesting and/or Fishing, you will obtain Achievements.<br><br>Upon obtaining an Achievement, a rewarded may be obtained.<br><br>Completing an Achievement will allow you to obtain higher tiered Achievements as well."""
text02#4,"""As you unlock more and more achievements, your gathering levels increase.<br><br>As your gathering levels increase, your fever time increases as well. You can also obtain other rewards too!<br><br>Additionally, when you've gained a level in Harvesting or Fishing, your stamina pool is refilled."""
