st_061030_0010#0,"""……<%me>.<br>너에게는 알마의 모습이 보인다고 들었다."""
st_061030_0020#0,"""そして彼女のために尽力してくれたと。<br>……深く感謝の意を述べたい。"""
st_061030_0030#0,"""私には資格がないゆえ、彼女の姿を<br>この目に捉えることはできないが……<br>それでもわかる。"""
st_061030_0040#0,"""彼女は、君達のおかげで救われた。<br>だから、ありがとう。"""
st_061030_0050#0,"""こちらこそありがとう"""
st_061030_0060#0,"""守ったのはレギアスだ"""
st_061030_0070#0,"""……はは。<br>これでは感謝の言い合いに<br>なってしまうな。"""
st_061030_0080#0,"""……そうだな。<br>今度こそ、私は守れたのかもしれない。"""
st_061030_0090#0,"""アルマが死してなお、その想いの<br>拠り所としてくれたアークス。"""
st_061030_0100#0,"""だからこそ、今度も守らねば。<br>彼女と、我々の居場所を。<br>彼女が安心して休める、その日まで。"""
st_061030_0110#0,"""……私やマリアには彼女が見えない。<br>何を言っているかはわからないが<br>なんとなく、君を頼りにしているのはわかる。"""
st_061030_0120#0,"""……彼女のこと、よろしく頼む。<br>困ったらいつでも頼ってくれ。"""
