Title#0,"""Воплощение Армагеддона"""
Explanation#0,"""Вы должны отправиться, <%me>.<br>Ардема надо остановить до преобразования<br>мира. С этой мыслью в голове направляйтесь<br>в штаб-квартиру Земли. Этот человек будет<br>ждать вас, в месте сбора фантомов.<br>――――――――――――――――――――<br>Поражение: возвращение после смерти"""
SimpleExplanation#0,"""Предотвр. преобразование мира!"""
Area0S#0,"""Подземный штаб Проводников Земли"""
Area0L#0,"""Планета Земля - Подземный штаб Проводников Земли, местность 1"""
Area1S#0,"""Подземный штаб Проводников Земли"""
Area1L#0,"""Планета Земля - Подземный штаб Проводников Земли, местность 2"""
Area2S#0,"""Подземный штаб Проводников Земли"""
Area2L#0,"""Планета Земля - Подземный штаб Проводников Земли, местность 3"""
Area3S#0,"""Подземный штаб Проводников Земли"""
Area3L#0,"""Планета Земля - Подземный штаб Проводников Земли, местность 4"""
Area4S#0,"""Фантомный сад"""
Area4L#0,"""Планета Земля - фантомный сад"""
QuestInfoAreaName#0,"""Подземный штаб Проводников Земли"""
