name_7714#0,"""Grad"""
ssn_014370_0001#0,"""Hey! You look like someone who can handle themself."""
ssn_014370_0002#0,"""I could use your help with something! There's a reward in it for you, of course!"""
ssn_014370_0101#0,"""Oh, I see...<br>I'm not going anywhere, so if you change your mind, come on back."""
ssn_014370_0201#0,"""Hey! Did you bring the Ore?"""
ssn_014370_0301#0,"""Hand over the 5 Monotites"""
ssn_014370_0302#0,"""Return"""
ssn_014370_0401#0,"""Alright, this looks like all of them. Thanks a lot!"""
ssn_014370_0402#0,"""Hmm, this might not be enough...<br>Could you pick me up a few more?"""
ssn_014370_0403#0,"""Oh, I see. I'll be waiting right here when you do!"""
ssn_014370_0501#0,"""Well, you've really helped me out here. This should be plenty to be getting on with."""
ssn_014370_0502#0,"""...Ah, almost forgot! This is your reward. Here, take it."""
ssn_014370_0503#0,"""I'm sure you'll find it useful. Put it to use however you like."""
ssn_014370_0504#0,"""If you run into any problems yourself, feel free to bring them to me. I'm always happy to lend a hand."""
ssn_014370_1001#0,"""Aha, perfect timing!"""
ssn_014370_1002#0,"""I could use your help again. Up to hearing me out?"""
ssn_014370_1101#0,"""Oh, I see...<br>I'm not going anywhere, so if you change your mind, come on back."""
ssn_014370_1201#0,"""Eh? You've got the Ore?"""
ssn_014370_1301#0,"""Hand over the 5 Dualomites"""
ssn_014370_1302#0,"""Return"""
ssn_014370_1401#0,"""Alright, this looks like all of them. Thanks a lot!"""
ssn_014370_1402#0,"""Hmm, this might not be enough...<br>Could you pick me up a few more?"""
ssn_014370_1403#0,"""Oh, I see. I'll be waiting right here when you do!"""
ssn_014370_1501#0,"""Alright, looks good! I shouldn't have any trouble upgrading my weapons with this stuff."""
ssn_014370_1502#0,"""You've helped me out of another tight spot. I knew you were the right one to ask."""
ssn_014370_1503#0,"""Right, I've got another reward for you. Feast your eyes on this."""
ssn_014370_1504#0,"""I might have some more work for you soon. And another reward, of course!"""
ssn_014370_2001#0,"""You always know just when to show up!"""
ssn_014370_2002#0,"""I need you to go pick up some Ore for me again. Got a minute?"""
ssn_014370_2101#0,"""Oh, I see...<br>I'm not going anywhere, so if you change your mind, come on back."""
ssn_014370_2201#0,"""Eh? You've got the Ore?"""
ssn_014370_2301#0,"""Hand over the 5 Trinites"""
ssn_014370_2302#0,"""Return"""
ssn_014370_2401#0,"""Alright, this looks like all of them. Thanks a lot!"""
ssn_014370_2402#0,"""Hmm, this might not be enough...<br>Could you pick me up a few more?"""
ssn_014370_2403#0,"""Oh, I see. I'll be waiting right here when you do!"""
ssn_014370_2501#0,"""Alright, now I can get back to work! I'll be finished in no time!"""
ssn_014370_2502#0,"""I'm deeply indebted to you. I can't thank you enough!"""
ssn_014370_2503#0,"""Ah, before I forget, your reward. Go on, take it."""
ssn_014370_2504#0,"""You're just about as skilled as I've ever seen."""
ssn_014370_2505#0,"""Having ARKS like you around is a great comfort. I hope we get another chance to work together!"""
ssn_014370_2601#0,"""You're just about as skilled as I've ever seen."""
ssn_014370_2602#0,"""Having ARKS like you around is a great comfort. I hope we get another chance to work together!"""
