ssn_011110_0001#0,"""Вам нравится заниматься собирательством?"""
ssn_011110_0002#0,"""За городом вы можете добыть овощи,<br>фрукты, руду и мясо теймзов."""
ssn_011110_0003#0,"""Такие свежие ингридиенты и прочные минералы<br>обязательно пригодятся вам в будущих битвах."""
ssn_011110_0004#0,"""Что ж, постарайтесь!"""
ssn_011110_0101#0,"""Сбор хорошо проходит?"""
ssn_011110_0102#0,"""Мне особенно нравятся минералы.<br>В свободное время я ищу их."""
ssn_011110_0103#0,"""В общем, я собираюсь рассказать вам больше о минералах.<br>Если ты не против, послушай что я расскажу!"""
ssn_011110_0201#0,"""Монотит - минерал с красным блеском."""
ssn_011110_0202#0,"""Его интересно просто разглядывать, но если ты принесёшь<br>его в лабораторию предметов, сможешь использовать его<br>для улучшения собственного снаряжения."""
ssn_011110_0203#0,"""Для разного снаряжения могут потребоваться разные минералы,<br>так что обязательно загляните в лабораторию, чтобы<br>узнать, что вам может понадобиться."""
ssn_011110_0204#0,"""Монотиты можно найти практически в любых каменистых местах<br>Центра Эарио. Почему бы вам не сходить и поискать?"""
ssn_011110_0301#0,"""Хм, ясно... Это печально."""
ssn_011110_0302#0,"""Если захотите узнать о минералах,<br>не стесняйтесь спрашивать."""
