msc_020090_0010#0,"""ในที่สุด... พวกเราก็ทำสำเร็จจนได้!"""
msc_020090_0020#0,"""มัน... จบลงแล้วใช่ไหม?"""
msc_020090_0030#0,"""คุณพ่อคะ... ทุกคน...<br>พวกเราทำได้แล้ว พวกเราทำได้จริงๆ"""
msc_020090_0040#0,"""...ขอบคุณนะ"""
msc_020090_0050#0,"""ครอว์ฟอร์ด (Crawford)..."""
msc_020090_0060#0,"""ขอบคุณ... ขอบคุณมากจริงๆ"""
msc_020090_0070#0,"""มันช่างเป็นการต่อสู้ที่... ยาวนานเหลือเกิน"""
msc_020090_0080#0,"""พวกเราคงไม่สามารถชนะได้<br>หากปราศจากความช่วยเหลือจากทุกคน"""
msc_020090_0090#0,"""พวกคุณทั้งสามคนคือส่วนสำคัญที่สุด<br>ที่ทำให้เรื่องทั้งหมดนี้เกิดขึ้นได้"""
msc_020090_0100#0,"""พวกคุณได้สร้างความประทับใจที่ยากจะลืมเลือน<br>ให้กับ ARKS ในทุกภูมิภาค"""
msc_020090_0110#0,"""ภาพความสำเร็จนี้ถูกสร้างขึ้น<br>ด้วยน้ำมือของพวกคุณทั้งสามคน"""
msc_020090_0120#0,"""...อย่างไรก็ตาม...<br>นี่ไม่ใช่จุดสิ้นสุดหรอกนะ"""
msc_020090_0130#0,"""ยังคงมี DOLLS<br>หลงเหลืออยู่บนฮาลฟา (Halpha) แห่งนี้"""
msc_020090_0140#0,"""แม้พวกเราจะกำจัดภัยคุกคามครั้งใหญ่ที่สุดไปได้<br>แต่การต่อสู้ก็น่าจะยังคงดำเนินต่อไปอีกสักพัก"""
msc_020090_0150#0,"""พวกคุณทั้งสามคนจะยังคง<br>ต่อสู้เคียงบ่าเคียงไหล่ไปกับพวกเราต่อไปไหม?"""
msc_020090_0160#0,"""เอาล่ะ สำหรับตอนนี้<br>เรามาฉลองให้กับชัยชนะกันก่อนเถอะ"""
