msc_020120_0010#0,"""...ขอโทษนะ..."""
msc_020120_0020#0,"""นี่! <%me>! แย่แล้วล่ะ...<br>เธอต้องช่วยฉันนะ!"""
msc_020120_0030#0,"""มีเรื่องอะไรเหรอ?"""
msc_020120_0040#0,"""ใจเย็นๆ ก่อนนะ"""
msc_020120_0050#0,"""โอเค... อื้ม"""
msc_020120_0060#0,"""อา ใช่สิ ขอโทษทีนะ"""
msc_020120_0070#0,"""ฟังนะ ฉันคิดว่ามาน่อน...<br>หายตัวไปแล้วล่ะ"""
msc_020120_0080#0,"""ช่วงนี้เธอทำตัว<br>แปลกๆ ไปใช่ไหมล่ะ?"""
msc_020120_0090#0,"""เหมือนกับว่ามีเรื่องอะไรที่<br>กวนใจเธออยู่จริงๆ"""
msc_020120_0100#0,"""ทุกครั้งที่ฉันถาม เธอจะเอาแต่ตอบว่า<br>'ฉันสบายดี' อะไรทำนองนั้นตลอดเลย"""
msc_020120_0110#0,"""ฉันก็เลยคิดว่าบางทีเธออาจจะรู้สึกแย่<br>กับเรื่องที่เกิดขึ้นที่เมืองเอลิโอ (Aelio Town) มาตลอด..."""
msc_020120_0120#0,"""ฉันเลยคิดว่าเธอคงจะดีขึ้น<br>ถ้าพวกเราจัดการกับ Dark Falz ได้ใช่มั้ยล่ะ?"""
msc_020120_0130#0,"""...แต่ว่า พอพวกเราเอาชนะ Dark Falz ได้จริงๆ<br>เธอก็ยังมีสีหน้ากังวลแบบเดิมอยู่..."""
msc_020120_0140#0,"""ดังนั้นวันนี้ฉันเลยตัดสินใจว่าจะจับเข่า<br>คุยกับเธอจริงๆ จังๆ ฉันก็เลยไปที่ห้องของมาน่อน"""
msc_020120_0150#0,"""พอไปถึง ประตูห้องของเธอก็ไม่ได้ล็อก<br>แล้วก็หาตัวเธอไม่เจอเลย..."""
msc_020120_0160#0,"""เตียงของเธอถูกจัดเรียบร้อย โต๊ะก็จัดเก็บ<br>เป็นระเบียบเรียบร้อยเหมือนไม่เคยมีใครอยู่..."""
msc_020120_0170#0,"""...ยกเว้นแต่<br>จดหมายแผ่นนี้ที่เธอทิ้งเอาไว้..."""
msc_020120_0180#0,"""'ฉันขอโทษนะ ขอบคุณสำหรับทุกอย่าง'"""
msc_020120_0190#0,"""แบบว่า นั่นมันหมายความว่ายังไงกันน่ะ?"""
msc_020120_0200#0,"""ฉันโทรหาเธอหลายรอบแล้ว<br>แต่เธอก็ไม่ยอมรับสายเลย"""
msc_020120_0210#0,"""ถ้าเกิดว่านี่เป็นครั้งสุดท้าย<br>ที่เราจะได้เจอเธออีกล่ะ?"""
msc_020120_0220#0,"""ฉันรู้สึกสังหรณ์ใจ<br>ไม่ดีเลยจริงๆ..."""
msc_020120_0230#0,"""พวกเราต้องได้เจอเธออีกแน่นอน"""
msc_020120_0240#0,"""ไอน่า..."""
msc_020120_0250#0,"""...อ-อื้ม...<br>เธอ... พูดถูกแล้วล่ะ"""
msc_020120_0260#0,"""อื้ม..."""
msc_020120_0270#0,"""ฉันจะออกไปตามหาเธอล่ะ"""
msc_020120_0280#0,"""ก่อนอื่น ฉันจะลองไปหาที่เอลิโอ (Aelio) ก่อน"""
msc_020120_0290#0,"""ถ้าหาไม่เจอ ก็จะไปที่รีเทม (Retem)<br>แล้วก็ควาริส (Kvaris)..."""
msc_020120_0300#0,"""ก่อนอื่น เราไปหาพยานผู้พบเห็นกันเถอะ"""
msc_020120_0310#0,"""พวกเราควรจะไปขอคำปรึกษาจากใครสักคนนะ"""
msc_020120_0320#0,"""พยานผู้พบเห็นเหรอ? แบบว่า ไปลองถาม<br>คนอื่นดูว่ามีใครเห็นเธอไหมน่ะเหรอ?"""
msc_020120_0330#0,"""ใครสักคน... แต่จะเป็นใครล่ะ?"""
msc_020120_0340#0,"""อ้อ จริงด้วย ครอว์ฟอร์ด (Crawford)!"""
msc_020120_0350#0,"""ถ้าเราไปที่ห้องบัญชาการล่ะก็<br>เขาต้องรู้แน่ๆ ว่าควรทำยังไง!"""
