name01#0,"""Astarte"""
text01#0,"""Ahora bien, sobre la raza."""
text02#0,"""Su vision es impresionante. Espero sus futuros esfuerzos dentro de los ARKS."""
text03#0,"""Su comprension de las diferentes razas es impresionante. Aqui hay una recompensa por obtener una puntuacion perfecta en el examen."""
text04#0,"""Recibes un Grinder de Astarte."""
text05#0,"""Si usted esta interesado en otros temas por favor no dude en desafiarse."""
text06#0,"""Su comprension sobre las diversas razas parece estar faltando todavia. Una recompensa se prepara para los ganadores del examen."""
text07#0,"""Usted ha contestado todo correctamente en el desafio anterior. Si desea refrescar su memoria, no dude en volver."""
text00#0,"""Primera pregunta."""
text07#1,"""Aunque no tiene una habilidad especifica ¿Que raza tiene un buen equilibrio para todas las situaciones?"""
text01#1,"""Dewman"""
text02#1,"""Human"""
text03#1,"""Newman"""
text04#1,"""Incorrecto."""
text08#0,"""Esta bien equilibrado para todas las situaciones. Esta raza se conoce como \""Human\"" """
text05#1,"""Correcto. Los humanos son la raza con excelente equilibrio en habilidades."""
text09#0,"""Los seres humanos se caracterizan por su alta adaptabilidad en todos. Son los mas adecuados para las prospecciones planetarias."""
text06#1,"""Incorrecto."""
text10#0,"""Esta bien equilibrado para todas las situaciones. Esta raza se conoce como \""Human\"" """
text00#1,"""Second question."""
text07#2,"""�Que raza se conoce como fisicamente debil, pero son buenos manejando photones, especialmente con techniques?"""
text01#2,"""Cast"""
text02#2,"""Dewman"""
text03#2,"""Newman"""
text04#2,"""Incorrecto."""
text08#1,"""La raza con alta adaptabilidad de photones. Son conocidos como \""Newman\"""""
text05#2,"""Incorrecto."""
text09#1,"""La raza con alta adaptabilidad de photones. Son conocidos como \""Newman\"""""
text06#2,"""Correct. La raza con alta adaptabilidad de photones. Son conocidos como \""Newman\"""""
text10#1,"""Los Newman estan basados en seres humanos. Tienen la maxima sensibilidad a los photones. Son un tipo de raza especializada."""
text00#2,"""Tercera pregunta."""
text07#3,"""Aunque no es muy bueno con los photones. ¿Que raza incorpora sus cuerpos con partes mecanicas?"""
text01#3,"""Cast"""
text02#3,"""Newman"""
text03#3,"""Dewman"""
text04#3,"""Correcto. La raza con el cuerpo de maquina. Se conocen como Cast."""
text08#2,"""Al transferir sus partes biologicas a una maquina. Tienen un cuerpo fuerte que puede soportar cualquier condicion aspera, Son una raza que pone un enfasis fuerte en la accion de combate."""
text05#3,"""Incorrecto."""
text09#2,"""Un cuerpo rigido compuesto de maquinas. Ese es el Casts."""
text06#3,"""Incorrecto."""
text10#2,"""Un cuerpo rigido compuesto de maquinas. Ese es el Casts."""
text00#3,"""Pregunta final."""
text07#4,"""Conocido por tener capacidades defensivas inferiores frente a las otras razas, es conocido por su alto poder de ataque. ¿Que raza tiene poder de ataque alto?"""
text01#4,"""Human"""
text02#4,"""Cast"""
text03#4,"""Dewman"""
text04#4,"""Incorrecto."""
text08#3,"""Los Dewmans son conocidos por su alto poder de ataque de photones. Se especializan solo en el poder ofensivo."""
text05#4,"""Incorrecto."""
text09#3,"""Los Dewmans son conocidos por su alto poder de ataque de photones. Se especializan solo en el poder ofensivo."""
text06#4,"""Correct. Los Dewmans son conocidos por su alto poder de ataque de photones. Se especializan solo en el poder ofensivo."""
text10#3,"""Una raza que se especializa en el asalto. Sus ojos lucen de diferentes colores. Tambien tienen cuernos por encima de su cabeza."""
