st_058170_0010#0,"""……끄으읕났다아아!"""
st_058170_0020#0,"""……끝났군."""
st_058170_0030#0,"""뭐야, 벌써 끝이냐?<br>나도 라뷰리스도<br>아직 덜 날뛰었는데."""
st_058170_0040#0,"""하하, 여전히 리 쨩은<br>혈기왕성에 건강하네.<br>난 이미 녹초야."""
st_058170_0050#0,"""……우리의 역할은 끝났다.<br>귀환하자, 마리아."""
st_058170_0060#0,"""아…………"""
st_058170_0070#0,"""……고마워, 기 군."""
st_058170_0080#0,"""어이쿠 손이 미끄러졌구만!"""
st_058170_0090#0,"""무슨 짓이냐, 마리아."""
st_058170_0100#0,"""정말이지, 손 가는 영감이구만.<br>이제 와서 부끄러워할 나이도 아니잖아?"""
st_058170_0110#0,"""이야기하는 데 상대의 모습이 필요해?<br>그 정도의 인연이 아니잖아,<br>너랑 알마는."""
st_058170_0120#0,"""아, 진짜.<br>뭔가 허전하니까,<br>사라나 단련시키고 올까."""
st_058170_0130#0,"""기 군……"""
st_058170_0140#0,"""……모르고 잇는 건<br>네 쪽이다, 마리아."""
st_058170_0150#0,"""나와 그녀에게는, 대화조차 필요없다.<br>……그렇지, 알마?"""
st_058170_0160#0,"""……후훗, 그럴까아?<br>여자의 마음은, 그렇게 간단하지<br>않을지도 몰라? 레기아스 군."""
skit01#0,"""The Saviors"""
skit02#0,"""이리하여 영웅은 이곳에 모이다"""
name01#0,"""？？？"""
name02#0,"""？？？"""
