st_058160_0010#0,"""말도 안 돼……내가……<br>졌다고……?"""
st_058160_0020#0,"""그래요.<br>당신은 수호휘사에게 진 겁니다."""
st_058160_0030#0,"""에피메라는 정화되었어……<br>그런데 왜 거기 있는 거야!<br>어째서 안 사라지는 거야! 하리엣!"""
st_058160_0040#0,"""세계를 정하는 것은 자신의 의지.<br>……저는 미래를 바랬고<br>그렇기에 지금, 저는 이곳에 있습니다."""
st_058160_0050#0,"""……하지만 의미없어. 의미없다고!<br>여기는 반복되는 세계니까!"""
st_058160_0060#0,"""지금의 나를 쓰러트린다 해도<br>몇 번이든 나타난다!<br>그만큼의 인자가 이곳엔 모여있어!"""
st_058160_0070#0,"""흐흐. 후후후. 하하하하!<br>역시 역사는 이랬어……<br>즉, 역사는 끝난단 거다……"""
st_058160_0080#0,"""지금 여기에서 사라지는 편이<br>더 낫다고 생각하지만 말이지."""
st_058160_0090#0,"""그건 대체 무슨……"""
st_058160_0100#0,"""미래가 희망뿐이라고 생각하지 마라.<br>내일이 빛에 감싸여있다는<br>생각 따윈 하지 마라.<br>절망은 바로 네 주위에 있다."""
st_058160_0110#0,"""반복하며 괴로워해라.<br>몇 번이고 괴로워해라!<br>세계의 원망을 계속해서 받아라……<br>절망한 채로 멸망해라……!"""
st_058160_0120#0,"""하하핫, 하하하하하!"""
st_058160_0130#0,"""마지막엔 꽤 자포자기한 느낌이었는데<br>진 게 싫었던 걸까요……"""
st_058160_0140#0,"""……그런 것보다 하리엣 씨<br>괜찮으신가요?"""
st_058160_0150#0,"""괜찮다……고 해도 될지 모르겠지만……<br>제 마음은 여기 있습니다."""
st_058160_0160#0,"""수호휘사. 당신 덕분이에요."""
st_058160_0170#0,"""하지만 저 때문에 모든 이들과<br>세계에 큰 피해를<br>불러일으키고 말았습니다……"""
st_058160_0180#0,"""이제 와서 제가 살아남아도……"""
st_058160_0190#0,"""하리에에엣!<br>괜찮지 괜찮지 괜찮은 거지!<br>으아아아아 다행이야!"""
st_058160_0200#0,"""마 마르가레타……!?"""
st_058160_0210#0,"""……큰일이었네요 하리엣 님.<br>우선은 무사히 재회한 걸 기뻐하죠."""
st_058160_0220#0,"""아리사 님까지……"""
st_058160_0230#0,"""응? 왜 그렇게 침울한 표정을 하는 거야?<br>안 기쁜 거야? 죽다 살아난 거야. 너."""
st_058160_0240#0,"""살아 있어…… 아 아닙니다<br>하지만 저 때문에 모두에게 폐를……"""
st_058160_0250#0,"""바보야!<br>그런 거 일일이 신경써서 뭐 하려고!<br>왕은 모두한테 폐 끼치는 법이야!"""
st_058160_0260#0,"""거기에 이번 건 네가 아니라<br>에르밀이란 놈이 전부 나뻤지!<br>하리엣이 신경 쓸 게 아니야!"""
st_058160_0270#0,"""우리 신님 좀 봐봐! 변덕쟁이에<br>농땡이 피우고 신벌이나 내리고<br>민폐란 건 그런 걸 말하는 거야!"""
st_058160_0280#0,"""잘도 그런 말을 하네 바보 왕.<br>어지간히도 신벌이 받고 싶나 본데."""
st_058160_0290#0,"""게엑. 신님……!<br>이건 말만 그런 거랄까 뭐랄까……<br>거 거짓말은 안 했는걸요!"""
st_058160_0300#0,"""뭐 됐어. 신은 관대한 법이다.<br>신벌은 나중에 내려주마."""
st_058160_0310#0,"""결국 신벌 내리는 거잖아!"""
st_058160_0320#0,"""것보다 너 알고 있냐?<br>그대로면 사라진다."""
st_058160_0330#0,"""네 그릇은 사라졌어.<br>여깄는 건 영혼의 잔재뿐이지."""
st_058160_0340#0,"""지금은 그 잔재가 제대로 있다만<br>영혼을 받아들일 만한 게 없으면<br>그것도 결국 형태를 유지할 수 없게 돼."""
st_058160_0350#0,"""……네. 알고 있습니다.<br>애초에 제가 마음을 가진 게<br>기적이었던 겁니다."""
st_058160_0360#0,"""그리고 마지막에 여러분과 만났습니다.<br>저의 기억은 여기서 끝나도 충분합니다.<br>마음 깊은 곳에서, 그렇게 생각합니다."""
st_058160_0370#0,"""하 함부로 말하는 거 아냐!<br>기껏 친구가 될 수 있었는데……<br>이걸로 작별이라니 그럴 순 없어!"""
st_058160_0380#0,"""잠깐 신님!<br>신님이니까 뭐라도 해 봐!"""
st_058160_0390#0,"""너 진짜 터무니없는 소리 하네.<br>하지만 그 엄청나게 건방진 점이 맘에 들어."""
st_058160_0400#0,"""하리엣.<br>네 영혼은 남는 쪽이 올바른 역사야."""
st_058160_0410#0,"""그러니 네가 내 뒤를 이어라.<br>내 후임으로써……<br>이 세계를 지탱해라."""
st_058160_0420#0,"""……그걸 받아들인다면<br>내가 네 몸이 되어주마."""
st_058160_0430#0,"""내가 그런 건 또 특기란 말이지.<br>전에 한 번 해본 적도 있고."""
st_058160_0440#0,"""에취!"""
st_058160_0450#0,"""하지만 그래선 당신이……<br>에픽에서도 신의 힘이 사라져서<br>큰일이 나는 건 아닐지……"""
st_058160_0460#0,"""신의 힘?!<br>그런 거보다 하리엣 쪽이<br>이 세상에 필요하거든!"""
st_058160_0470#0,"""하하하!<br>신의 힘을 그런 거라고 말한 거냐<br>바보 왕!"""
st_058160_0480#0,"""좋구만 그 뒷일 따위 생각도 안 하는 느낌!<br>내가 좋아하는 사람하고 꼭 닮았어!"""
st_058160_0490#0,"""에취! 에취!"""
st_058160_0500#0,"""나는 원래부터 망령이야.<br>여기에 「있을 수 없던 존재」지.<br>네가 신경쓸 건 아무것도 없어."""
st_058160_0510#0,"""어차피 사라진다면 다른 누군가를 위해서.<br>변덕쟁이 신님의 선물이라 생각하고<br>받아둬."""
st_058160_0520#0,"""넌 마르가레타를 구해줬어."""
st_058160_0530#0,"""넌 알마를 구해줬어."""
st_058160_0540#0,"""그러니 이걸로 서로 빚은 없어."""
st_058160_0550#0,"""……네.<br>정말로 감사합니다."""
st_058160_0560#0,"""……뭔지는 잘 모르겠지만<br>하리엣이 우리 신님이 된다는 거야?"""
st_058160_0570#0,"""그렇단 건 에픽이랑 쿠엔트가<br>병합하는 게 되는 걸까?"""
st_058160_0580#0,"""그렇게 되면 나라 이름 바꿔야겠네!<br>신성 에피쿠엔트 마도국이라던지!"""
st_058160_0590#0,"""마르 씨……<br>네이밍 센스도 형편없네요."""
st_058160_0600#0,"""「도」는 뭐야! 「도」는！<br>나한테 불경하게 굴면<br>예외없이 하리엣의 신벌이 내릴 거야!"""
st_058160_0610#0,"""신벌이라고 그렇게 가볍게<br>내릴 수 있는 것도 아니에요.<br>게다가 저도 바로 돌아가야 해요."""
st_058160_0620#0,"""돌아간다니. 어디로?"""
