name01#0,"""Xiera"""
text01#0,"""Next, I'll explain <red>Brave Stance<c>!"""
text02#0,"""Brave Stance is a skill that <red>boosts damage when attacking enemies from the front<c>."""
text03#0,"""Try defeating an enemy from the front with Brave Stance."""
text101#0,"""Task 4: <yellow>Defeat an enemy in Brave Stance"""
train_title#0,"""Task 4: <yellow>Defeat an enemy in Brave Stance"""
tut_title#0,"""Brave Stance"""
text100#0,"""・Attack and defeat an enemy<br>\u3000from the front"""
text100_3b#0,"""・Attack and defeat an enemy<br>\u3000from the front"""
tut_win_title#0,"""Brave Stance"""
tut_win_text100#0,"""In Brave Stance, damage is boosted when attacking enemies that are facing you.<br><br>You will deal less damage when attacking enemies from behind."""
