name01#0,"""Xiera"""
text01#0,"""Next, I'll explain <red>Knuckle Gear<c>!"""
text02#0,"""The Gear Gauge fills as you attack without stopping, and <red>your attack speed rises based on the Gear level<c>."""
text03#0,"""Try attacking continuously to <red>reach maximum Gear<c>."""
text101#0,"""Task 3: <yellow>Maximize Gear"""
train_title#0,"""Task 3: <yellow>Maximize Gear"""
tut_title#0,"""Knuckle Gear"""
text100#0,"""・Use <%NormalAttack> to fill the Gear Gauge<br>\u3000by using Normal Attacks"""
text100_3b#0,"""・Use <%NormalAttack> to fill the Gear Gauge<br>\u3000by using Normal Attacks"""
tut_win_title#0,"""Knuckle Gear"""
tut_win_text100#0,"""By learning the Class Skill \""Knuckle Gear\"", you can further increase the performance of your Knuckles.<br><br>By attacking continuously, you will reach Gear 2, then Gear 3.<br><br>Your attack speed will increase based on your current Gear level."""
