name01#0,"""Xiera"""
text01#0,"""Next, I'll explain <red>Wise Stance<c>!"""
text02#0,"""Wise Stance is a skill that <red>boosts damage when attacking enemies from behind<c>."""
text03#0,"""Activate Wise Stance and try defeating an enemy from behind."""
text101#0,"""Task 5: <yellow>Defeat an enemy in Wise Stance"""
train_title#0,"""Task 5: <yellow>Defeat an enemy in Wise Stance"""
tut_title#0,"""Wise Stance"""
text100#0,"""・Activate Wise Stance from<br>\u3000the Subpalette<br>・Attack and defeat an enemy<br>\u3000from behind"""
text100_3b#0,"""・Activate Wise Stance from<br>\u3000the Subpalette<br>・Attack and defeat an enemy<br>\u3000from behind"""
tut_win_title#0,"""Wise Stance"""
tut_win_text100#0,"""When Wise Stance is active, damage is boosted when attacking enemies from behind.<br><br>You will deal less damage when attacking enemies head-on."""
