name01#0,"""Xiera"""
11_voice_train_04001#0,"""Hello! This is the \""Fighter Basics\"" training course!"""
text02#0,"""I'll explain how <red>Twin Dagger Gear<c> works!"""
text03#0,"""When the Gear Gauge of Twin Dagger Gear goes up a stage, <red>Photon Arts become stronger<c>!"""
text04#0,"""Let's start with <red>raising the Gear Gauge by two stages<c>."""
text101#0,"""Task 1: <yellow>Use a Photon Art after 2 Gear stages.<c>"""
train_title#0,"""Task 1: <yellow>Use a Photon Art after 2 Gear stages.<c>"""
tut_title#0,"""Twin Dagger Gear"""
text100#0,"""・Jump using <%Jump> and use <%WeaponAction> to<br>\u3000raise the gauge by 2 stages<br>・Follow up by using a Photon<br>\u3000Art with <%PhotonArts>"""
text100_3b#0,"""・Jump using <%Jump> and use <%MainPaletteC> to<br>\u3000raise the gauge by 2 stages<br>・Follow up by using a Photon<br>\u3000Art with <%PhotonArts>"""
tut_win_title#0,"""Twin Dagger Gear"""
tut_win_text100#0,"""By learning the Class Skill \""Twin Dagger Gear\"", you can further increase the performance of your Twin Daggers.<br><br>The Gear Gauge will rise when you jump or when you use your <yellow>Weapon Action<c>.<br><br>Each stage on the Gear Gauge will boost the power of <red>Photon Arts<c>."""
