name01#0,"""Xiera"""
text01#0,"""Next, I'll explain <red>Double Saber Gear<c>!"""
text02#0,"""Double Saber Gear consumes your Gear Gauge to <red>generate a Kamaitachi<c> which attacks everything around you."""
text03#0,"""Try reaching <red>level 1 Gear<c>, then attack with Kamaitachi."""
text101#0,"""Task 2: <yellow>Generate a Kamaitachi"""
train_title#0,"""Task 2: <yellow>Generate a Kamaitachi"""
tut_title#0,"""Double Saber Gear"""
text100#0,"""・Attack enemies until you<br>\u3000reach level 1 Gear<br>・Use <%WeaponAction> to generate a<br>\u3000Kamaitachi"""
text100_3b#0,"""・Attack enemies until you<br>\u3000reach level 1 Gear<br>・Use <%MainPaletteC> to generate a<br>\u3000Kamaitachi"""
tut_win_title#0,"""Double Saber Gear"""
tut_win_text100#0,"""By learning the Class Skill \""Double Saber Gear\"", you can further increase the performance of your Double Saber.<br><br>By attacking enemies, you will reach Gear 2, then Gear 3.<br><br>You can use your Weapon Action to turn the built-up Gear into a \""Kamaitachi\"" that attacks the area around you."""
