name_7629#0,"""Lilasa"""
ssn_019090_004_0001#0,"""มาเพราะเรื่อง Xitrae สินะ?"""
ssn_019090_004_0002#0,"""ตอนนั้นวุ่นวายมากเลยล่ะ"""
ssn_019090_004_0003#0,"""เรากำลังใช้รถบรรทุกขนส่ง Dango อยู่ แล้วจู่ๆ ฝูง DOLLS ก็โผล่มาโจมตีพวกเรา"""
ssn_019090_004_0004#0,"""เราพยายามปกป้องสินค้าอย่างเต็มที่ แต่ก็โดนโจมตีมาพร้อมๆ กัน"""
ssn_019090_004_0005#0,"""คอนเทนเนอร์แตกออก แล้วสินค้าบางส่วนก็กระเด็นออกมา"""
ssn_019090_004_0006#0,"""เราพยายามเก็บกู้ให้ได้มากที่สุด แต่ศัตรูก็ไม่ยอมหยุดโจมตีเลย"""
ssn_019090_004_0007#0,"""ในขณะเดียวกัน ตรงกองสินค้า ฉันคิดว่าฉันเห็นอะไร 'เล็กๆ' กำลังค้นๆ อยู่แถวนั้นนะ แต่ว่า..."""
ssn_019090_004_0008#0,"""พอทุกอย่างสงบลงแล้วตรวจสอบความเสียหายดู ก็พบว่าลัง Dango หายไปสองสามลัง"""
ssn_019090_004_0009#0,"""โอย! หงุดหงิดชะมัดเลย!"""
ssn_019090_004_0010#0,"""เธอเองก็เป็น ARKS ใช่ไหม?"""
ssn_019090_004_0011#0,"""หวังว่าจะกินข้าวครบทุกมื้อนะ?"""
ssn_019090_004_0012#0,"""ถ้าเกิดรถบรรทุกพังขึ้นมา พวกเราคงโดนบ่นจนหูชาแน่"""
ssn_019090_004_0013#0,"""แต่ถ้าแค่บุบสลายนิดหน่อยก็น่าจะซ่อมได้แหละ"""
