name_7628#0,"""Lerach"""
ssn_019090_003_0001#0,"""Huh? Oh, you're the person Xitrae mentioned."""
ssn_019090_003_0002#0,"""Yeah, so while we were transporting the Dango, we got jumped by a group of DOLLS along the way, right?"""
ssn_019090_003_0003#0,"""One of the trucks took an attack from behind, damaging the container in the process."""
ssn_019090_003_0004#0,"""I was focused on the fight, so I didn't get a good look at the condition of our cargo..."""
ssn_019090_003_0005#0,"""When we realized the damage, some of what was inside was missing."""
ssn_019090_003_0006#0,"""All I managed to catch a glimpse of was something \""round\"" running off into some tall grass..."""
ssn_019090_003_0007#0,"""It could've just been nothing, though."""
ssn_019090_003_0008#0,"""That's about all that I remember."""
ssn_019090_003_0009#0,"""Doing well, I hope?"""
ssn_019090_003_0010#0,"""As ARKS, our health is wealth. Staying healthy is most important."""
ssn_019090_003_0011#0,"""Next time, I want to make sure we guard the trucks properly."""
ssn_019090_003_0012#0,"""It's valuable equipment, after all."""
