name_7224#0,"""Xitrae"""
ssn_019090_002_0001#0,"""เฮ้ ขอบใจที่มาหาฉันนะ ขอแนะนำตัวอีกรอบแล้วกัน"""
ssn_019090_002_0002#0,"""ฉันชื่อ Xitrae อยู่หน่วย Supply Corps ของ Central City เราดูแลจัดการเสบียงและทรัพยากรเพื่อสนับสนุนการใช้ชีวิตและการต่อสู้ในแต่ละวัน"""
ssn_019090_002_0003#0,"""เอาล่ะ เข้าเรื่องเลยนะ..."""
ssn_019090_002_0004#0,"""เพื่อเป็นการขอบคุณที่ ARKS ทำงานหนักกันมาตลอด หน่วย Supply Corps เลยร่วมมือกับแผนก Logistics จัดงานปาร์ตี้ขึ้นมา"""
ssn_019090_002_0005#0,"""เพื่อเป็นเซอร์ไพรส์ เราก็เลยทำขนมทรงกลมสีขาวรูปร่างแปลกตาที่เรียกว่า Tsukimi Dango ขึ้นมาเพียบเลย"""
ssn_019090_002_0006#0,"""แต่ว่านะ... ระหว่างที่กำลังขนส่งด้วยรถบรรทุก มันก็ดันหายไปส่วนนึงน่ะสิ"""
ssn_019090_002_0007#0,"""ในฐานะคนของแผนกขนส่ง ถือเป็นเรื่องน่าอับอายขายหน้ามาก!"""
ssn_019090_002_0008#0,"""ทั้งๆ ที่ทุกคนอุตส่าห์ตั้งใจทำแท้ๆ! อ๊ะ ถ้าฉันรู้ว่ามันหายไปไหน ตอนไหน แล้ว 'ใคร' เป็นคนเอาไปล่ะก็ ฉันจะ...!!!"""
ssn_019090_002_0009#0,"""...อะแฮ่ม ขอระบายความโกรธหน่อยแล้วกัน"""
ssn_019090_002_0010#0,"""...แล้วก็ ถึงใจจริงฉันอยากจะออกไปตามหาตัวคนร้ายเอง แต่ก็ต้องยุ่งอยู่กับการเตรียมงานปาร์ตี้ส่วนที่เหลือน่ะสิ"""
ssn_019090_002_0011#0,"""ฉันก็เลยคิดว่า... คงจะดีไม่น้อยถ้าเธอจะช่วยฉันเรื่องนี้... อะไรทำนองนั้นน่ะ"""
