a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Title#0,"""T:Utterly Profound"""
Explanation#0,"""Dark Falz Elder has appeared, but<br>compared to before, his power is<br>enormous. It's likely that he will<br>continue getting stronger...<br>However, if all ARKS work together to<br>combine our strength, we can drive<br>him back! All ARKS, prepare for battle!<br>――――――――――――――――――――<br>Failure: Time limit expires, be defeated"""
NpcComMsg1#0,"""All set? You're getting<br>transported right in front of<br>Dark Falz Elder. Hang tight."""
NpcComMsg2#0,"""/face6 ...Guess we really cut that thing down to size.<br>Be strong. Remember all your <br>training. Come back to us safely. I believe in you."""
NpcComMsg3#0,"""現在、転送先地域は晴れていますが<br>先の通り、天候の変化が予想されます。<br>充分注意し、任務にあたってください。"""
SimpleExplanation#0,"""Defeat Dark Falz Elder"""
