Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci2 2 오오, 나의 친우여.<br>연회에 초청되다니 드문 일이군!<br>주옥같은 보물을 찾아 오셨는가?"""
Success#1,"""/ci2 2 이 정도로 우리를 멈출 수 있을 것 같으냐!<br>이것도 운명의 이끌림!<br>그럼 다시 주옥같은 보물을 찾아 떠나도록 하지!"""
Failure#1,"""/ci3 2 우리의 힘이 닿지 않는다니…!<br>큭… 미안하다!"""
Dead#1,"""/mn5 나의 혼, 멸망의 순간인가…!"""
BuddyDead#1,"""/mn18 친우여, 무리는 금물이다!<br>나머진 우리에게 맡겨주실까!"""
Begin#2,"""/ci2 2 이 이끌림에 감사를 표하지!<br>부탁이다, 우리에게 힘을 빌려다오!"""
Success#2,"""/ci2 2 주옥같은 보물은 어딘가에 있을 터다…!<br>우리, 어지러운 미궁에 미혹된 자 끼리!<br>함께 해답을 요구하여, 걸어나가자!"""
Failure#2,"""/ci3 2 이 무슨 추태…!<br>미안하다…!"""
Dead#2,"""/mn5 미안하다…<br>잠시 동안의 이별을 용서해다오…！"""
BuddyDead#2,"""/mn18 이츠키, 무리는 하지 마!<br>사람이 죽으란 법은 없는 것! 우리에게 맡겨주실까!"""
