Title#0,"""T:威風堂々たる鋼鉄の進撃"""
Explanation#0,"""惑星・地球の日本近海において<br>強力な巨大幻創種の反応を確認した。<br>巨大幻創種は都市部へ移動を開始しており<br>このまま放置すれば、現実の都市部にて<br>大きな被害が予想される。<br>アークス各員は、目標の侵攻を阻止せよ。<br>――――――――――――――――――――<br>最大与ダメージ制限/９９９９９９<br>失敗条件/制限時間の経過"""
SimpleExplanation#0,"""幻創戦艦・大和を撃退せよ！"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
NpcComMsg1#0,"""Начинаем операцию по перехвату<br>ультра-огромной активности,<br>которая была обнаружена<br>в водах Тихого океана."""
NpcComMsg2#0,"""Прежде всего необходимо<br>остановить движение цели.<br>После того, как доберётесь<br>на A.I.S. до нужной точки,<br>необходимо будет выпустить<br>замораживающий снаряд."""
NpcComMsg3#0,"""После этого, пожалуйста,<br>незамедлительно уничтожьте его.<br>Тем не менее, ожидается<br>сильное сопротивление...<br>Будьте осторожны!"""
NpcComMsg1#1,"""Основная задача сотоит в победе<br>над линкором. Его нужно<br>уничтожить до того, как он<br>приблизится к городской<br>местности."""
NpcComMsg2#1,"""Пожалуйста, используйте новое<br>оборудование A.I.S<br>\""High Bust\""<br>для достижения победы!"""
Area0S#0,"""日本近海"""
Area0L#0,"""Земля - Прибрежные воды Японии"""
Area1S#0,"""日本近海"""
Area1L#0,"""Земля - Прибрежные воды Японии"""
