IncidentName#0,"""Уничтожьте Фантом Линкор Ямато!"""
TrialBeginMsg#0,"""Уничтожьте Фантом Линкор Ямато до истечения времени!"""
TrialAbstract#0,"""Уничтожьте Фантом Линкор Ямато до истечения времени!"""
NpcComOnBegin#0,"""Внимание всем АРКС!<br>Подтверждаю повышенную<br>активность противника!<br>Поскрее разберитесь с ним,<br>пожалуйста!"""
NpcComOnSuccess#0,"""Сигналы противника исчезли!<br>Молодцы!"""
HP_Under_50#0,"""$(0)<br>становится слабее!"""
HP_Under_10#0,"""$(0)<br>держится на последнем дыхании!"""
NpcComOnBeginNext#0,"""...Провожу проверку барьера<br>вокруг линкора Ямато!<br>Кажется атаковать не получится.<br>Но слабость где-нибудь,<br>да и найдётся!"""
NpcComOnBreakBarrier#0,"""Барьер, окружающий Ямато,<br>слабеет!<br>Не упустите шанс!"""
NpcComOnDeathblow#0,""Фиксирую энергетический скачёк<br>Линкора Ямато!<br>Кажется что-то может произойти!<br>Пожалуйста, будьте осторожны!"""
NpcComOnBegin#1,"""Внимание всем АРКС!<br>Подтверждаю повышенную<br>активность противника!<br>Поскрее разберитесь с ним!"""
NpcComOnSuccess#1,"""Сигналы противника исчезли!<br>Молодцы!"""
HP_Under_50#1,"""$(0) становится слабее!"""
HP_Under_10#1,"""$(0) держится на последнем дыхании!"""
NpcComOnBeginNext#1,"""...Провожу проверку барьера<br>вокруг линкора Ямато!<br>Кажется атаковать не получится.<br>Но слабость где-нибудь,<br>да и найдётся!"""
NpcComOnBreakBarrier#1,"""Барьер, окружающий Ямато,<br>слабеет!<br>Не упустите шанс!"""
NpcComOnDeathblow#1,"""Фиксирую энергетический скачёк<br>Линкора Ямато!<br>Кажется что-то может произойти!<br>Пожалуйста, будьте осторожны!"""
NpcComOnBegin#2,"""Внимание всем АРКС!<br>Подтверждаю повышенную<br>активность противника!<br>Поскрее разберитесь с ним,<br>пожалуйста!"""
NpcComOnSuccess#2,"""Сигналы противника исчезли!<br>Молодцы!"""
HP_Under_50#2,"""$(0) становится слабее!"""
HP_Under_10#2,"""$(0) держится на последнем дыхании!"""
NpcComOnBeginNext#2,"""...Провожу проверку барьера<br>вокруг линкора Ямато!<br>Кажется атаковать не получится.<br>Но слабость где-нибудь,<br>да и найдётся!"""
NpcComOnBreakBarrier#2,"""Барьер, окружающий Ямато,<br>слабеет!<br>Не упустите шанс!"""
NpcComOnDeathblow#2,"""Фиксирую энергетический скачёк<br>Линкора Ямато!<br>Кажется что-то может произойти!<br>Пожалуйста, будьте осторожны!"""
NpcComOnBegin#3,"""Внимание всем АРКС!<br>Подтверждаю повышенную<br>активность противника!<br>Поскрее разберитесь с ним,<br>пожалуйста!"""
NpcComOnSuccess#3,"""Сигналы противника исчезли!<br>Молодцы!"""
HP_Under_50#3,"""$(0) становится слабее!"""
HP_Under_10#3,"""$(0) держится на последнем дыхании!"""
NpcComOnBeginNext#3,"""...Провожу проверку барьера<br>вокруг линкора Ямато!<br>Кажется атаковать не получится.<br>Но слабость где-нибудь,<br>да и найдётся!"""
NpcComOnBreakBarrier#3,"""Барьер, окружающий Ямато,<br>слабеет!<br>Не упустите шанс!"""
NpcComOnDeathblow#3,"""Фиксирую энергетический скачёк<br>Линкора Ямато!<br>Кажется что-то может произойти!<br>Пожалуйста, будьте осторожны!"""
NpcComOnBegin#4,"""Внимание всем A.I.S.!<br>Уничтожьте Ямато немедленно!"""
NpcComOnSuccess#4,"""Подтверждаю потопление Ямато!<br>Молодцы!"""
HP_Under_50#4,"""Ямато слабеет!"""
HP_Under_10#4,"""Ещё немного! Поднажмите! """
NpcComOnBeginNext#4,"""Провожу проверку барьера вокруг<br>Линкора Ямато!<br>Пожалуйста, старайтесь атаковать<br>энергию, концентрирующуюся<br>на боковой части!"""
NpcComOnBreakBarrier#4,"""Барьер, окружающий Ямато,<br>слабеет!<br>Не упустите шанс!"""
NpcComOnDeathblow#4,"""Фиксирую высокий энергетический<br>скачёк линкора Ямато!<br>Он готов использовать<br>мощную атаку!<br>Пожалуйста, будьте осторожны!"""
NpcComOnBeginNextNoBarrier#0,"""Оружия цели готовы,<br>сейчас начнётся!<br>Будьте осторожны!"""
NpcComOnChangeShin#0,"""Ну и ну...<br>Подтверждаю изменение цели!<br>Колличество атакующих установок<br>увеличилось! Будьте осторожны!"""
