Title#0,"""Величественность высвобожденной стали"""
Explanation#0,"""惑星・地球の日本近海において<br>巨大幻創種の反応が再発生した。<br>その反応は以前よりもはるかに強力であり<br>本任務の遂行には多大な危険を伴うことが<br>推測される。そのため、本任務の出撃は<br>実績あるアークスに限定する。<br>――――――――――――――――――――<br>Может быть выполнен только единажды для рейтинга.<br>Поражение: истечение лимита времени"""
SimpleExplanation#0,"""Уничтожьте Фантом Линкор Ямато!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
NpcComMsg1#0,"""Цель вновь появилась и направляется в сторону городских районов. Она уже начала движение, поэтому нам некогда тратить время."""
NpcComMsg2#0,"""Используйте A.I.S. и уничтожьте цель. Хоть и эта область и станет полем боя, но надеюсь что вы будете осторожны."""
Area0S#0,"""Прибрежные воды Японии"""
Area0L#0,"""Земля - Прибрежные воды Японии"""
Area1S#0,"""Прибрежные воды Японии"""
Area1L#0,"""Земля - Прибрежные воды Японии"""
