pr_043010_0010#0,"""...Чёрт! Чёрт, чёрт, ЧЁРТ!"""
pr_043010_0020#0,"""Как так, как так вышло!<br>Я не знал, что подобное<br>существует!"""
pr_043010_0030#0,"""Я был... полностью разгромлен!..<br>Я, Хагито Ание!.. Я, человек,<br>которого выбрали!"""
pr_043010_0040#0,"""Я не смогу смотреть Матери<br>в лицо... это повлияет<br>на моё положение!.."""
pr_043010_0050#0,"""Нет, не сейчас!<br>Ещё не всё потеряно!"""
pr_043010_0060#0,"""Моя армия, бессмертные воины!..<br>Я прав, Изумрудный планшет!?"""
pr_043010_0070#0,"""Если мне не хватает, то нужно<br>создать нечто более сильное,<br>нечто более удивительное!<br>Верно!"""
pr_043010_0080#0,"""Теперь, возьми это, возьми Эфир,<br>Изумрудный планшет!"""
pr_043010_0090#0,"""Ты станешь первым шедевром,<br>который я когда-либо создавал!<br>Твоей силе не будет равных!"""
pr_043010_0100#0,"""Покажи мне силу, большую,<br>чем моя, Изумрудный планшет!<br>Твои возможности...<br>не имеют границ!"""
pr_043010_0110#0,"""Хихихи, хахахаха!<br>Хаахахахахаха!!"""
