Title#0,"""T: Величественность высвобожденной стали"""
Explanation#0,"""Подтверждаем огромную активность<br>фантомов в прибрежных водах Японии<br>планеты Земля. Если не предотвратить<br>вторжение в городские районы,<br>то спокойствию этого мира может<br>прийти конец. Всем ARKS, немедленно<br>отправиться и остановить вторжение.<br>――――――――――――――――――――<br>Поражение: истечение лимита времени"""
SimpleExplanation#0,"""Уничтожьте Фантом Линкор Ямато!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,""""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,""""Получите лиц. одобр-я \""СС\"" сложности"""
NpcComMsg1#0,"""Начинаем операцию по перехвату<br>ультра-огромной активности,<br>которая была обнаружена<br>в водах Тихого океана."""
NpcComMsg2#0,"""Прежде всего необходимо<br>остановить движение цели.<br>После того, как доберётесь<br>на A.I.S. до нужной точки,<br>необходимо будет выпустить<br>замораживающий снаряд."""
NpcComMsg3#0,"""После этого, пожалуйста,<br>незамедлительно уничтожьте его.<br>Тем не менее, ожидается<br>сильное сопротивление...<br>Будьте осторожны!"""
NpcComMsg1#1,"""Основная задача сотоит в победе<br>над линкором. Его нужно<br>уничтожить до того, как он<br>приблизится к городской<br>местности."""
NpcComMsg2#1,"""Пожалуйста, используйте новое<br>оборудование A.I.S<br>\""High Bust\""<br>для достижения победы!"""
Area0S#0,"""Прибрежные воды Японии"""
Area0L#0,"""Земля - Прибрежные воды Японии"""
Area1S#0,"""Прибрежные воды Японии"""
Area1L#0,"""Земля - Прибрежные воды Японии"""
