name_7445#0,"""Anan"""
ssn_015500_0001#0,"""Stia's a pretty demanding place, isn't it? It's hot, the enemies are strong..."""
ssn_015500_0002#0,"""Makes it a pain to secure ingredients for food..."""
ssn_015500_0101#0,"""Say, have you ever gathered ingredients here in Stia?"""
ssn_015500_0102#0,"""If you're used to that sorta stuff, I'd like to ask a favor of you."""
ssn_015500_0201#0,"""I'd like you to gather me some \""Nourishing Stira Hermit Crab\"" and some \""Sharp Stira Octopus\""."""
ssn_015500_0202#0,"""They can both be found in Stia's Fringes."""
ssn_015500_0203#0,"""Thanks again!"""
ssn_015500_0301#0,"""Oh, alright... That's too bad."""
ssn_015500_0302#0,"""Well, come see me later then. Whenever you've got some free time, no rush."""
ssn_015500_0401#0,"""Can you go get me some \""Nourishing Stira Hermit Crab\"" and \""Sharp Stira Octopus\""?"""
ssn_015500_0402#0,"""I could really use five of each!"""
ssn_015500_0501#0,"""Hand over the ingredients"""
ssn_015500_0502#0,"""Cancel"""
ssn_015500_0601#0,"""Thanks so much! Ooh, each one's lookin' good!"""
ssn_015500_0602#0,"""With stuff this good, I'm really gonna have try my best to make an equally good menu."""
ssn_015500_0603#0,"""...You know, there's a lot of troops here who don't seem to be interested in their own diet."""
ssn_015500_0604#0,"""Everyone's always eating Quick Food or portable meals."""
ssn_015500_0605#0,"""I mean, that's all well and good if you're out on the field."""
ssn_015500_0606#0,"""But at least while in the Camp, I want to be able to give people a proper meal, you know?"""
ssn_015500_0607#0,"""I mean, there's nothing pleasant about a daily life without tasty meals, right?"""
ssn_015500_0608#0,"""That's why I wanna whip up a tasty menu, so everyone can remember what good food tastes like."""
ssn_015500_0609#0,"""You don't mind continuing to help me out, right?"""
ssn_015500_0701#0,"""Ah, you're a bit short... Sorry, can you come back with five of each?"""
ssn_015500_0801#0,"""I see... Well, come on back when you've got 'em all."""
ssn_015500_1001#0,"""Hey, you! Got some time?"""
ssn_015500_1002#0,"""Actually, there's some more ingredients I want you to get for me."""
ssn_015500_1003#0,"""I'm just missing some ingredients, and then I'll be able to make the perfect dish."""
ssn_015500_1101#0,"""I'm gonna need \""Nourishing Stira Meat\"" and \""Refreshing Stira Meat\""."""
ssn_015500_1102#0,"""There's a lot of DOLLS and Alters here in Stia, but it also has quite a few Tames if you look in the right areas."""
ssn_015500_1103#0,"""Alright, thanks again!"""
ssn_015500_1201#0,"""Ah, I guess you're a little busy..."""
ssn_015500_1202#0,"""Let me know whenever you've got some time, 'kay?"""
ssn_015500_1301#0,"""Ah, did you get the \""Nourishing Stira Meat\"" and \""Refreshing Stira Meat\""?"""
ssn_015500_1302#0,"""I could really use five of each!"""
ssn_015500_1401#0,"""Hand over the ingredients"""
ssn_015500_1402#0,"""Cancel"""
ssn_015500_1501#0,"""Thanks so much! I'll be able to bring out a lot of flavors with these."""
ssn_015500_1502#0,"""Alrighty, first, we start by putting the ingredients into the pan... And then whatever seasoning might seem good..."""
ssn_015500_1503#0,"""...Hm? What's with that expression? Something wrong with how I cook?"""
ssn_015500_1504#0,"""...Well, yeah, EATING food has always been more of my forte..."""
ssn_015500_1505#0,"""Aelio Town always had plenty of ingredients nearby; it was such a great place..."""
ssn_015500_1506#0,"""The line between \""combat\"" and \""logistics\"" was less defined, too."""
ssn_015500_1507#0,"""Everyone fought together, cooked together, and ate together."""
ssn_015500_1508#0,"""I can't forget those experiences back then, so now I'm here, just tryin' my best, you know?"""
ssn_015500_1509#0,"""So it's fine if I mess up, 'cause I wanna try all sorts of stuff."""
ssn_015500_1510#0,"""I'm sure everyone would be happy for me."""
ssn_015500_1511#0,"""That's why I'm not gonna stop trying."""
ssn_015500_1512#0,"""Not until the day I make the ultimate dish!"""
ssn_015500_1601#0,"""Ah, you're a bit short... Sorry, can you come back with five each?"""
ssn_015500_1701#0,"""I see... Well, come on back when you've got 'em all."""
ssn_015500_1801#0,"""When I complete my menu, you'll have to come and try some of my food."""
ssn_015500_1802#0,"""...It might be a biiiit of a rough journey along the way, though..."""
ssn_015500_1803#0,"""Anyways, look forward to it!"""
