a1#0,"""Compensación de determinadas órdenes de clientes"""
a2#0,"""Compensación de determinadas órdenes de clientes"""
a3#0,"""Posesión de un Permiso de Orden SuperHard"""
Area0S#0,"""Llanuras de Aelio"""
Area0L#0,"""Llanuras de Aelio"""
Title#0,"""Defensa de la plataforma minera: Aelio"""
Explanation#0,"""Hemos recibido una solicitud de apoyo de emergencia de nuestra unidad minera activa en las llanuras de Aelio. Numerosas lecturas enemigas en la zona sugieren que es probable un asalto importante. Necesitamos que todos los defensores de ARKS se apresuren a ir al lugar y defender la plataforma minera.<br>---------------------------------------------------<br>se puede completar: $(0)"""
SimpleExplanation#0,"""¡Defiende la plataforma minera!"""
Nav000#0,"""Ola $(0) de lecturas enemigas restantes<br>en <yellow>50%<c>."""
Nav001#0,"""Ola $(0) de lecturas enemigas restantes<br>en <yellow>20%<c>."""
Nav002#0,"""Cuando el objetivo de la defensa recibe daño,<br>repáralo con <yellow>Photon Recovery<br>."""
Nav003#0,"""Utiliza el <yellow>Cañón móvil<c> para exterminar a los enemigos<br>cuando las cosas se pongan difíciles."""
Nav004#0,"""Cuando el objetivo de la defensa recibe daño,<br>repáralo con <yellow>Photon Recovery<br>."""
Nav005#0,"""Utiliza el <yellow>Cañón móvil<c> para exterminar a los enemigos<br>cuando las cosas se pongan difíciles."""
Nav006#0,"""Cuando el objetivo de la defensa recibe daño,<br>repáralo con <yellow>Photon Recovery<br>."""
Nav007#0,"""Utiliza el <yellow>Cañón móvil<c> para exterminar a los enemigos<br>cuando las cosas se pongan difíciles."""
Nav008#0,"""Cuando el objetivo de la defensa recibe daño,<br>repáralo con <yellow>Photon Recovery<br>."""
Nav009#0,"""Utiliza el <yellow>Cañón móvil<c> para exterminar a los enemigos<br>cuando las cosas se pongan difíciles."""
Nav010#0,"""Cuando el objetivo de la defensa recibe daño,<br>repáralo con <yellow>Photon Recovery<br>."""
Nav011#0,"""Utiliza el <yellow>Cañón móvil<c> para exterminar a los enemigos<br>cuando las cosas se pongan difíciles."""
Nav012#0,"""Cuando el objetivo de la defensa recibe daño,<br>repáralo con <yellow>Photon Recovery<br>."""
Nav013#0,"""Utiliza el <yellow>Cañón móvil<c> para exterminar a los enemigos<br>cuando las cosas se pongan difíciles."""
Nav014#0,"""Si el objetivo de la defensa empieza a verse abrumado,<br>protégelo con un <yellow>Escudo de barrera<br>."""
Nav015#0,"""Forma equipo con otros jugadores para eliminar<br>primero a los enemigos grandes."""
Nav016#0,"""Neutraliza el cerco de barrera del <yellow>Barrigale<c> destruyendo los tres núcleos."""
Nav017#0,"""El <yellow>Wave Ram<c> es una batería de cañones estacionaria que<br>empieza a disparar poco después de aparecer."""
Nav018#0,"""El <yellow>Clingkill<c> inflige daño al objetivo de la defensa<br>después de que se fije."""
Nav019#0,"""Destruye primero los <yellow>Encantadores<c> en <yellow>Enemigos<br>mejorados<br>."""
Nav020#0,"""Completa la misión"""
Nav021#0,"""Completa la misión"""
Nav022#0,"""Completa la misión"""
Nav023#0,"""Completa la misión"""
Nav101#0,"""El punto de aparición del enemigo está indicado por el <yellow>marcador<c>."""
Nav102#0,"""El <yellow>Clingkill<c> se adhiere al objetivo de defensa y<br>le inflige daño periódicamente."""
Nav103#0,"""El <yellow>Wave Ram<c> es una batería de armas estacionaria que<br>dispara al objetivo de defensa una vez que está completamente cargada."""
Nav104#0,"""Forma equipo con otros jugadores para eliminar primero los <yellow>Clingkills<c><br>y los <yellow>Wave Rams<c>"""
Nav105#0,"""Intenta que el objetivo de la defensa no sea alcanzado por <br>los ataques de <yellow>área de efecto<br> del enemigo."""
Nav106#0,"""Utiliza el <yellow>Cañón Móvil<c> para exterminar a los<br>enjambres enemigos y a los enemigos duros."""
Nav107#0,"""Esperamos un asalto aún mayor.<br>Comprueba la <br>integridad estructural del<br>objetivo de defensa<br>antes de que comience el ataque."""
Nav108#0,"""La siguiente oleada debería ser la última.<br>Comprueba la <br>cantidad restante de<br>Accumusigne<br>antes de que comience el ataque."""
Nav202#0,"""Los puntos de <yellow>Accumusigne<c> se acumulan a medida que avanzan las<br>ondas."""
Nav203#0,"""Cada jugador puede usar cada una de las funciones del <yellow>Dispositivo de Llamada<c> una sola vez."""
Nav204#0,"""Los <yellow>Calamares<c> que están unidos al objetivo de defensa<br>pueden ser eliminados por un <yellow>Escudo de barrera<c>."""
Nav205#0,"""Mientras estés equipado con el <yellow>Cañón móvil<c>,<br>tu velocidad de movimiento se reduce, pero<br>puedes moverte rápidamente con un <yellow>Planeo de impulso<c>."""
Nav206#0,"""Sigue la pista de las posiciones de otros jugadores y<br>coordina los ataques a través del Mapa de Radar."""
Nav207#0,"""Puedes ganar ventaja prediciendo dónde aparecerá el enemigo y<br>esperar para emboscarlo."""
Nav208#0,"""Los enemigos<br>centrarán sus ataques<yellow>en la defensa<c>objetivo un tiempo después de aparecer."""
