name01#0,"""Хильда"""
name02#0,"""Вспомогательная палитра"""
skit01#0,"""/toge Э-эй!<br>Ты в порядке, напарник?"""
11_voice_navi02_114#0,"""На вас напали? Основы включают<br>в себя исцеление. Я также<br>расскажу вам о том, как<br>самовосстановиться."""
11_voice_navi02_115#0,"""Хорошо, давате попробуем<br>использовать Monomate.<br>Я подготовила его для вас<br>в этом месте."""
text00#0,"""Восстановление HP"""
text01#0,"""Если HP (очки жизни) станут равны 0 в следствии<br>нанесения урона, то вы станете небоеспособными.<br><br>Когда ваши HP снижаются, попробуйте их восстановить<br>с помощью Monomate."""
text02#0,"""Используйте <yellow>Monomate<c>, зарегистрированный в вспомогательной палитрые (она же под-палитра).<br><br>Предметы вашей <%SubPalette> можно выбрать и использовать.<br><br><red>※С помощью  <%SubpaletteLeft> и <%SubpaletteRight>, вы можете перемещаться по вспомогательной палитре.<c>"""
text03#0,"""У питомцев есть свои HP, и они уменьшаются в случае получения урона.<br><br>Питомцев, HP которых достигли нуля, некоторое время будут небоеспособными.<br><br>Когда HP питомца уменьшится, вы можете использовать технику Кesta"""
text100#0,"""Восстановитесь с помощью Monomate!"""
text1000#0,"""Используйте Monomate из вашей <%Subpalette1>!"""
text1001#0,"""Используйте Monomate из вашей <%Subpalette>!"""
text201#0,"""Восстановитесь с помощью Monomate!"""
text202#0,"""Восстановитесь с помощью Monomate!"""
text203#0,"""Использовать из под-палитры: <%SubPalette1>"""
text204#0,"""Использовать из под-палитры: <%SubPalette>"""
text205#0,"""Использовать из под-палитры: <br>Нажать на иконку"""
skit01#1,"""/ci3 2 /toge Э-эй! Ты в порядке, напарник!?"""
skit01#2,"""/toge Э-эй! Ты в порядке, напарник!?"""
11_voice_navi02_114#1,"""На вас напали?<br>Немедленное лечение повреждений<br>является основой.<br>Я также расскажу о том,<br>как вылечиться."""
11_voice_navi02_115#1,"""Отлично, давайте попробуем<br>использовать Monomate.<br>Припасы уже подготовлены<br>на месте."""
text00#1,"""Восстановление HP"""
text01#1,"""Это руководство по восстановлению HP.<br><br>HP (очки жизни), уменьшаемые при получении урона<br>от врагов, можно восстановить с помощью предметов."""
text02#1,"""Поскольку расходные предметы для восстановления<br>зарегистрированы в <yellow>под-палитре<c>, вы можете<br>вылечиться с помощью Monomate.<br>Предметы <%Subpalette> можно выбрать и использовать.<br><br><red>※Курсор под-палитры вы сможете переместить после<br>завершения данного руководства."""
text03#1,"""Поскольку расходные предметы для восстановления<br>зарегистрированы в <yellow>под-палитре<c>, вы можете<br>вылечиться с помощью Monomate.<br>Вы можете использовать <%SubPaletteLeft> и <%SubPaletteRight> для смены <%SubPalette>.<br><br><red>※Курсор под-палитры вы сможете переместить после<br>завершения данного руководства."""
text04#0,"""Число в левом нижнем углу показывает текущее<br>количество предметов в наличии.<br><br>Каждый предмет имеет максимальное число для переноса<br>и хранения, и по достижении максимального количества,<br>число становится оранжевым."""
text100#1,"""Восстановитесь с помощью Monomate!"""
text1000#1,"""Используйте Monomate из вашей <%Subpalette1>!"""
text1001#1,"""Используйте Monomate из вашей <%Subpalette>!"""
