name01#0,"""Хильда"""
name02#0,"""Смена оружия"""
11_voice_navi02_123#0,"""...В заключение,<br>я хотела б вам объяснить<br>о смене оружия."""
11_voice_navi02_124#0,"""А теперь, смените оружие<br>как вы только что видели."""
text00#0,"""Смена оружия"""
text01#0,"""Это учебное пособие<br>по смене оружия."""
text02#0,"""Вы можете зарегистрировать <yellow>несколько видов оружия<c><br>в палитре оружия, и использовать их.<br><br>Для переключения оружия:<br>Вверх - <%PaletteReverse><br>Вниз - <%PaletteForce><br>Подтверждение - <%Decide>"""
text03#0,"""Вы можете зарегистрировать <yellow>несколько видов оружия<c><br>в палитре оружия, и использовать их.<br><br>Для переключения оружия:<br>Вверх - <%PaletteReverse><br>Вниз - <%PaletteForce><br>Подтверждение - <%Decide>"""
text05#0,"""Давайте сменим снаряжение<br>на палитре оружия и попробуем<br>воспользоваться им."""
text100#0,"""Выберите с помощью <%PaletteReverse> либо <%PaletteForce>, затем подтвердите с помощью <%Decide>!"""
text1000#0,"""Выберите с помощью <%PaletteReverse><%PaletteForce>, затем подтвердите с помощью <%Access>!"""
text1001#0,"""Выберите с помощью <%PaletteReverse> либо <%PaletteForce>, затем подтвердите с помощью<%Decide>!"""
text201#0,"""Смените снаряжение!"""
text202#0,"""Смените снаряжение!"""
text203#0,"""Выбор палитры оружия: <%PaletteReverse> или <%PaletteForce><br>Смена палитры оружия: <%Decide>"""
text204#0,"""Выбор палитры оружия: <%PaletteReverse> или <%PaletteForce><br>Смена палитры оружия: <%Decide>"""
