Title#0,"""Batalla contra el Devil Castle"""
Explanation#0,"""異世界オメガに存在する魔神城が活性化。<br>かの世界で戦乱が起こっています。<br>オメガへ向かい、魔神城を撃破しましょう。<br>魔神城の結界を突破するための兵器<br>「破界鎚」が鍵になる戦いですよ！<br>頑張りましょう、守護輝士！<br>――――――――――――――――――――<br>La misión termina cuando expira el<br>tiempo límite o cuando es destruido<br>el Devil Castle."""
StoryExplanation#0,"""ルツの奸計を乗り越え<br>魔神城を撃破しながら王都へ迫る<br>ハリエット率いる革命軍。<br>クエントの未来を決する戦いが始まろうとしていた。"""
Title#1,"""Batalla del castillo"""
Explanation#1,"""ルツの奸計を乗り越え<br>魔神城を撃破しながら王都へ迫る<br>ハリエット率いる革命軍。<br>クエントの未来を決する戦いが<br>始まろうとしていた。<br>――――――――――――――――――――<br>La misión termina cuando expira el<br>tiempo límite o cuando es destruido<br>el Devil Castle."""
SimpleExplanation#0,"""¡Derrota al Devil Castle!"""
NpcComMsg1#0,"""¡Estarás luchando contra el Devil Castle pronto!<br>Las barreras se han colocado, ¡Así que le esperara una lucha feroz!"""
NpcComMsg2#0,"""A medida que se acerque al Devil Castle, ¡Se convocaran Buster Piles para destruir las barreras! Sin<br>decir nada mas, ¡Te deseo buena suerte!"""
OnQuestBegin_0#0,"""¡Las fuerzas enemigas se preparan para atacar!<br>¡Recoge Mana para utilizarlas con las armas<br>establecidas!"""
OnQuestBegin_1#0,"""Cuando acumulan suficiente Mana,<br>las armas ARKS se fortalecen<br>y puedes combocar mayor cantidad!"""
OnDefencePhase1Start0#0,"""Fuerzas enemigas han sido detectadas!<br>¡Reune tanto Mana como sea posible<br>mientras protege las torres!"""
OnDefencePhase1Start1#0,"""¡El ejército enemigo está preparando otro asalto!<br>A medida que se recoge Mana, nuestras torres se iran recuperando automáticamente."""
OnDefencePhase1Start2#0,"""¡El enemigo ha comenzado su asalto!<br>Reúne Mana mientras defiendes nuestras torres para que puedan comenzar su recuperación."""
OnDefencePhase2Start0#0,"""Esto es terrible!<br>¡Las fuerzas enemiga han comenzado a avanzar hacia nuestras Buster Towers!<br>¡Por favor, pause lo que está haciendo y ayúde a defender!"""
OnDefencePhase2Start1#0,"""¡El ejército enemigo ha preparado otro asalto!<br>Aunque rompimos la barrera, pero si nuestras torres son destruidas, entonces no podemos asegurar la victoria!<br>¡Cuidado!"""
OnDefencePhase3Start0#0,"""¡Una fuerte señal ha sido detectada desde el Devil Castle!<br>Parece estar planeando un ataque a nuestras Buster towers!<br>¡Por favor detengalo!"""
OnDefencePhase3Start1#0,"""Otra señal fuerte detectada desde el Devil Castle...!<br>¡Por favor, defiende nuestras torres del ataque del Devil Castle!"""
