Title#0,"""마신성전 : 부단의 투지"""
Explanation#0,"""이세계 오메가 베른 황성 주변 황야에<br>마신성 소환을 확인. 또한 마신성 외에<br>정체 불명의 강력한 열원도 감지되었습니다.<br>난전이 예상되지만 「파계추」를 소환해<br>이들의 격파를 부탁드립니다.<br>――――――――――――――――――――<br>퀘스트 플레이 가능 횟수/$(0)회<br>제한 시간 경과로 퀘스트 종료<br>적의 전력 게이지를 0으로 만들거나<br>제한 시간 경과 시 잔량이 웃돌면 승리"""
SimpleExplanation#0,"""마신성을 격파하라!"""
OnQuestBegin_0#0,"""적군이 공격 준비에 들어간 모양이에요!<br>이 틈에 병기 세트 선택과<br>마나 회수를 해 두죠!"""
OnQuestBegin_1#0,"""마나를 모으면 병기가<br>강화되고 소환하는 파계추 수가<br>늘어나는 등의 혜택이 있어요!"""
OnDefencePhase1Start0#0,"""적군의 침공을 확인!<br>파계추를 지키면서 가능한 한<br>마나를 회수해 주세요!"""
OnDefencePhase1Start1#0,"""적군 재차 침공 개시!<br>마나를 일정량 회수할 때마다<br>파계추가 자동으로 회복돼요!"""
OnDefencePhase1Start2#0,"""적군, 재침공 개시!<br>파계추가 파괴되지 않도록 섬멸하면서<br>마나 회수를 부탁드려요!"""
OnDefencePhase2Start0#0,"""큰일이에요!\u3000파계추를 향해<br>적군이 침공을 개시했어요!<br>일단 후퇴해서 방어에 전념해 주세요!"""
OnDefencePhase2Start1#0,"""재차 적군이 침공을 개시!\u3000결계는<br>돌파했지만 파계추가 부서지면<br>승산이 없어요! 주의해주세요!"""
OnDefencePhase3Start0#0,"""마신성에서 강력한 반응을 확인!<br>파계추를 노린 공격같아요!<br>확실하게 저지해주세요!"""
OnDefencePhase3Start1#0,"""또 다시 마신성에서 강력한 반응……!<br>마신성의 공격을 저지해서<br>파계추를 방어해 주세요!"""
OnAttackPhase1Start0#0,"""파계추, 소환 완료!<br>적군에게서 파계추를 엄호해서<br>장벽을 부숴봐요!"""
OnAttackPhase1Start1#0,"""파계추, 소환 완료!<br>적군의 공격에서 파계추를 지켜서<br>남은 장벽을 부숴봐요!"""
OnAttackPhase1Start2#0,"""파계추를 소환했어요!<br>이번에야말로 적의 장벽을 돌파해요!"""
OnAttackPhase2Start0#0,"""모든 장벽 파괴에 성공!<br>이젠 마신성을 쓰러뜨리기만 하면 돼요!<br>먼저 복부의 코어를 공격하죠!"""
OnAttackPhase2Start1#0,"""마신성은 일정 시간마다<br>파계추를 향해 레이저를 발사해요!<br>시급히 코어를 파괴해주세요!"""
OnAttackPhase3Start0_0#0,"""마신성을 공격하기 위해<br>좌우 계단에서 중앙 다리 위로<br>이동해 주세요!"""
OnAttackPhase3Start0_1#0,"""이번에도 마신성은 일정 시간마다<br>강력한 레이저를 쏠 거에요!<br>서둘려 격파를!"""
OnAttackPhase3Start1#0,"""다시 방어 기구에 올라가<br>마신성의 약점 부위로 향해주세요!"""
OnDefencePhase1End0#0,"""적군 제압을 확인!<br>파계추 소환 중입니다. 이 틈에<br>진군 준비를 부탁드려요!"""
OnDefencePhase1End1#0,"""다시 파계추를 소환해 장벽을 공격할게요!<br>마나를 회수해서 소환 할<br>파계추 수를 늘여봐요!"""
OnDefencePhase1End2#0,"""파계추 소환중!<br>공격할 준비를 해 주세요!"""
OnAttackPhase1End0#0,"""파계추 소멸, 및 적 원군을 확인!<br>재침공이 예측되기 때문에<br>파계추의 방어를 단단히 해 주세요!"""
OnAttackPhase1End1#0,"""파계추 소멸, 및<br>재차 적 원군을 확인!<br>파계추의 방어를 단단히 해 주세요!"""
OnAttackPhase1End2#0,"""파계추 모두 소멸, 및<br>재차 적 원군을 확인했어요!<br>파계추 방어를 단단히 해 주세요!"""
OnDefencePhaseEndByTimeOver#0,"""적군의 동향에 변화를 확인했어요!<br>일부 에너미가 자폭해 올 거에요!<br>주의해주세요!"""
OnDefencePhaseEnemyDecrease0#0,"""적군, 수가 줄어들었어요!<br>이대로 밀고 나가요!"""
OnDefencePhaseEnemyDecrease1#0,"""적군, 앞으로 조금 남았어요!<br>조금만 더요!"""
OnWaveHapping#0,"""마신성에서 불온한 움직임 확인!<br>방해를 해 올 것 같아요!<br>각자 상황에 따라 행동해 주세요!"""
OnRamCountIncrease#0,"""일정량 마나를 회수했어요!<br>보다 많은 파계추를 소환할 수 있어요!<br>계속해 마나를 회수하죠!"""
OnBaseHpDecrease0#0,"""$(0)파계추의 손상 확대!<br>시급히 원호 부탁드려요!"""
OnBaseHpDecrease1#0,"""$(0)파계추가 이젠 더 못버팁니다!<br>지금 당장 원호 부탁드려요!"""
OnBrokenBase0#0,"""파계추 기능 정지를 확인<br>앞으로 세 개 남았어요!\u3000아직 여유는<br>있어요!\u3000조급해 하지 말고 계속 해요!"""
