Title#0,"""Battle the Devil Castle"""
Explanation#0,"""異世界オメガに存在する魔神城が活性化。<br>かの世界で戦乱が起こっています。<br>オメガへ向かい、魔神城を撃破しましょう。<br>魔神城の結界を突破するための兵器<br>「破界鎚」が鍵になる戦いですよ！<br>頑張りましょう、守護輝士！<br>――――――――――――――――――――<br>制限時間の経過でクエスト終了<br>敵の戦力ゲージを０にするか<br>制限時間経過時に残量が上回っていれば勝利"""
StoryExplanation#0,"""ハリエット達の前に単独で姿を見せた<br>剣の巫女アリサとの対面もつかの間<br>ルツの奸計により、陣近くの草原に<br>魔神城が出現する。"""
Title#1,"""クエント中央平原の戦い"""
Explanation#1,"""ハリエット達の前に単独で姿を見せた<br>剣の巫女アリサとの対面もつかの間<br>ルツの奸計により、陣近くの草原に<br>魔神城が出現する。<br>――――――――――――――――――――<br>制限時間の経過でクエスト終了<br>敵の軍勢ゲージを０にするか<br>制限時間経過時に残量が上回っていれば勝利"""
SimpleExplanation#0,"""Defeat the Devil Castle!"""
OnQuestBegin_0#0,"""敵軍、攻撃準備に入った模様！<br>今のうちに兵器セットの選択と<br>マナの回収を進めましょう！"""
OnQuestBegin_1#0,"""マナを溜めるとアークス兵器が<br>強化され、召喚する破界鎚の数が<br>増えるなどの恩恵がありますよ！"""
OnDefencePhase1Start0#0,"""Enemy assault force has been detected!<br>Gather as much Mana as possible while<br>protecting the tower!"""
OnDefencePhase1Start1#0,"""The enemy army is preparing another<br>assault! As more Mana is collected,<br>our towers will recover automatically."""
OnDefencePhase1Start2#0,"""The enemy has started its assault!<br>Recover more Mana while defending our<br>towers so it can start its recovery."""
OnDefencePhase2Start0#0,"""This is terrible! The enemy assault<br>force has started to advance towards<br>our Buster Tower! Please stop what<br>you're doing and help defend it!"""
OnDefencePhase2Start1#0,"""The enemy army has prepared another<br>assault! Although we broke through the<br>barrier, but if our tower is destroyed,<br>then we cannot grasp victory! Watch out!"""
OnDefencePhase3Start0#0,"""A strong signal has been detected<br>from the Devil Castle! It seems to be<br>planning an attack on our Buster Tower!<br>Please stop it!"""
OnDefencePhase3Start1#0,"""Another strong signal detected from<br>the Devil Castle...! Please defend our<br>towers from the Devil Castle's assault!"""
OnAttackPhase1Start0#0,"""Summoned the Buster Pile!<br>Escort the payload from the enemy<br>army and break down their barriers!"""
OnAttackPhase1Start1#0,"""Summoned the Buster Pile!<br>Protect the Buster Pile from enemy<br>attacks and destroy the remaining barriers!"""
OnAttackPhase1Start2#0,"""We summoned the Buster Pile!<br>Let's break through the barriers!"""
OnAttackPhase2Start0#0,"""We successfully destroyed all the<br>barriers! All there's left is to defeat<br>the Devil Castle! Let's attack the<br>core located on the abdomen!"""
OnAttackPhase2Start1#0,"""The Devil Castle unleashes its assault<br>towards the Buster towers at regular<br>intervals! Please destroy the core as<br>soon as possible!"""
OnAttackPhase3Start0_0#0,"""Move to the left or right stairs<br>that lead towards the center to<br>attack the Devil Castle!"""
OnAttackPhase3Start0_1#0,"""The Devil Castle will begin its<br>laser assault at regular intervals!<br>Hurry and defeat it!"""
OnAttackPhase3Start1#0,"""Scale its defense mechanism and<br>attack the Weak Point of the<br>Devil Castle!"""
OnDefencePhase1End0#0,"""The enemy assault has been suppressed!<br>We're summoning a Buster Pile.<br>Please prepare for the advancement!"""
OnDefencePhase1End1#0,"""We'll start the summon and attack the barriers! Collect Mana and let's increase the number of Piles!"""
