Title#0,"""Battle the Devil Castle"""
Explanation#0,"""異世界オメガに存在する魔神城が活性化。<br>かの世界で戦乱が起こっています。<br>オメガへ向かい、魔神城を撃破しましょう。<br>魔神城の結界を突破するための兵器<br>「破界鎚」が鍵になる戦いですよ！<br>頑張りましょう、守護輝士！<br>――――――――――――――――――――<br>Quest ends when time limit expires.<br>When the enemy gauge hits 0 by the<br>end of the quest, you win."""
SimpleExplanation#0,"""Defeat the Devil Castle!"""
OnQuestBegin_0#0,"""The enemy forces are preparing to<br>attack! Collect enough Mana for any of the weapons set in place!"""
OnQuestBegin_1#0,"""When you amass enough Mana, ARKS<br>weapons are strengthened and the<br>number of summoned spawns are increased!"""
OnDefencePhase1Start0#0,"""敵軍の侵攻を確認！<br>破界塔を守りつつ、可能な限り<br>マナを回収して下さい！"""
OnDefencePhase1Start1#0,"""敵軍、再度侵攻開始！<br>マナを一定量回収するごとに<br>破界塔が自動で回復しますよ！"""
OnDefencePhase1Start2#0,"""敵軍、再侵攻開始！<br>破界塔を壊されないよう殲滅しつつ<br>マナの回収をお願いします！"""
OnDefencePhase2Start0#0,"""大変です！\u3000破界塔に向けて<br>敵軍が侵攻を開始しました！<br>一旦後退し、防衛に専念して下さい！"""
OnDefencePhase2Start1#0,"""再度敵軍が侵攻を開始！\u3000結界は<br>突破しましたが、破界塔を壊されたら<br>勝機はありません！注意して下さい！"""
OnDefencePhase3Start0#0,"""魔神城から強力な反応を確認！<br>破界塔を狙った攻撃のようです！<br>確実に阻止して下さい！"""
OnDefencePhase3Start1#0,"""再び魔神城から強力な反応……！<br>魔神城の攻撃を阻止し<br>破界塔を防衛して下さい！"""
OnAttackPhase1Start0#0,"""破界鎚、召喚完了！<br>敵軍から破界鎚を護衛し<br>障壁を壊しましょう！"""
OnAttackPhase1Start1#0,"""破界鎚、召喚完了！<br>敵軍の攻撃から破界鎚を守り<br>残った障壁を壊しましょう！"""
OnAttackPhase1Start2#0,"""破界鎚を召喚しました！<br>今度こそ敵の障壁を突破しましょう！"""
OnAttackPhase2Start0#0,"""全障壁の破壊に成功！<br>あとは魔神城を倒すだけです！<br>まずは腹部のコアを攻撃しましょう！"""
OnAttackPhase2Start1#0,"""魔神城は、一定時間ごとに<br>破界塔に向けてレーザーを放ちます！<br>早急にコアを破壊してください！"""
OnAttackPhase3Start0_0#0,"""魔神城を攻撃するために<br>左右の階段から中央の橋上に<br>移動して下さい！"""
OnAttackPhase3Start0_1#0,"""今度も魔神城は、一定時間ごとに<br>強力なレーザーを放ってきます！<br>急ぎ撃破を！"""
OnAttackPhase3Start1#0,"""再び防衛機構に登り<br>魔神城の弱点部へ向かってください！"""
OnDefencePhase1End0#0,"""敵軍の制圧を確認！<br>破界鎚を召喚中です。今のうちに<br>進軍の準備をお願いします！"""
OnDefencePhase1End1#0,"""再度破界鎚を召喚し障壁を攻撃します！<br>マナを回収して、召喚する<br>破界鎚の数を増やしましょう！"""
OnDefencePhase1End2#0,"""破壊鎚召喚中！<br>攻め込む準備をして下さい！"""
