name01#0,"""Hilda"""
name02#0,"""Photon Arts benutzen"""
name03#0,"""Techniken benutzen"""
11_voice_navi02_107#0,"""Du bist wirklich gut.<br>Nun lernst du etwas<br>über Photon Arts."""
11_voice_navi02_108#0,"""Übung macht den Meister.<br>Probiere ein paar<br>Photon Arts aus."""
11_voice_navi02_127#0,"""Du bist wirklich gut.<br>Nun lernst du etwas<br>über Techniken."""
11_voice_navi02_128#0,"""Übung macht den Meister.<br>Probiere ein paar<br>Techniken aus."""
text00#0,"""Über 『Photon Arts』"""
text01#0,"""Photon Arts（Abkürzung：PA）<br><c 00ffff>Beim Verwenden und Freisetzen von PP,<br>führst du einen speziellen Angriff aus.<c><br><br>Du kannst Photon Arts in Kombiation mit einer Waffe mit <%PhotonArts> benutzen.<br><br>PP (Photon Points) regenerieren sich mit der Zeit oder durch normale Angriffe."""
text03#0,"""Bei 「Jet Boots」 Nutzern<br>Langes Drücken von <%PhotonArts> aktiviert entweder die Photon Arts<br>oder ändert die Elementarattribute.<br><br>Das Ändern des Attributes<br> erfolgt durch 「Techniken」, welche auch<br> situationsbedingt eingesetzt werden können."""
text10#0,"""Über 『Techniques』"""
text11#0,"""Techniken (Abkürzung：Techs),<br><c 00ffff>Beim Verbrauchen und Freisetzen von PP,<br>führst du einen Magie-ähnlichen Angriff aus.<c><br><br>Du kannst Techniken in Kombation mit einer Waffe mit <%PhotonArts> benutzen.<br><br>PP (Photon Points) regenerieren sich mit der Zeit oder durch normale Angriffe."""
text12#0,"""Photon Arts (Abkürzung：PA)<br><c 00ffff>Beim Verbrauchen und Freisetzen von PP,<br>führst du einen Spezialangriff aus.<c><br><br>Dein Pet verbraucht PA bei der Nutzung von <%PhotonArts>.<br><br>PP (Photon Points) regenerieren sich mit der Zeit oder durch normale Angriffe."""
text13#0,"""「Techniken」, so nennt man sie,<br>sind Magie-ähnliche Angriffe.<br>Du kannst sie auf deine Subpalette legen<br>und mit ihnen angreifen oder deine Pets heilen.<br><br>Situationsbedingt musst du zwischen<br>angreifen und heilen entscheiden."""
text100#0,"""Benutze Photon Arts mit <%PhotonArts>!"""
text101#0,"""Benutze Techniken mit <%PhotonArts>!"""
text1000#0,"""Benutze Photon Arts mit <%PhotonArts>!"""
text1001#0,"""Benutze Techniken mit <%PhotonArts>!"""
text201#0,"""Benutze Photon Arts!"""
text202#0,"""Benutze Techniken!"""
text203#0,"""Photon Arts: <%PhotonArts>"""
text204#0,"""Techniken: <%PhotonArts>"""
text205#0,"""Benutze ein Pet Photon Art!"""
text206#0,"""Photon Arts: <%PhotonArts>"""
11_voice_navi02_107#1,"""Du bist wirklich gut.<br>Nun lernst du etwas<br>über Photon Arts."""
11_voice_navi02_108#1,"""Übung macht den Meister.<br>Probiere ein paar<br>Photon Arts selbst aus."""
11_voice_navi02_127#1,"""Du bist wirklich gut.<br>Nun lernst du etwas<br>über Techniques."""
11_voice_navi02_128#1,"""Übung macht den Meister<br>Probiere ein paar<br>Techniques aus."""
text00#1,"""Über 『Photon Arts』"""
text01#1,"""Photon Arts（Abkürzung：PA）<br><c 00ffff>Beim verbrauchen und freigeben von PP,<br>führst du einen speziellen Angriff aus.<c><br><br>Du kannst Photon Arts in Kombiation mit einer Waffe mit <%PhotonArts> benutzen.<br><br>PP (Photon Points) regenerieren sich mit der Zeit oder durch normale Angriffe."""
text02#0,"""<%PhotonArts>を押すと、装備している武器に対応した<br>フォトンアーツを繰り出します。<br><br>フォトンアーツは繰り出す度にＰＰ（フォトンポイント）を消費します。"""
text03#1,"""<%PhotonArts>ボタンを押すと、装備している武器に対応した<br>フォトンアーツを繰り出します。<br><br>フォトンアーツは繰り出す度にＰＰ（フォトンポイント）を消費します。"""
text03_2#0,"""ＰＰの消費量はフォトンアーツごとに設定されており、<br>フォトンアーツのＰＰ消費量に対して、現在のＰＰが少ない場合<br>画面のようなアイコンが表示され、フォトンアーツが繰り出せません。"""
text04#0,"""ＰＰは時間経過、または通常攻撃をヒットさせることで回復します。<br>通常攻撃とフォトンアーツをうまく組み合わせて戦いましょう。"""
text05#0,"""『テクニック』について"""
text06#0,"""チュートリアル<br>『テクニック』について説明します。<br><br><c 00ffff>テクニックとは、フォースがＰＰ（フォトンポイント）を消費して放つ<br>強力な攻撃です。<c>"""
text07#0,"""<%PhotonArts>を押すと、テクニックを繰り出します。<br><br>テクニックは繰り出す度にＰＰ（フォトンポイント）を消費します。<br>ＰＰは時間経過、または通常攻撃をヒットさせることで回復します。<br>通常攻撃とテクニックをうまく組み合わせて戦いましょう。"""
text08#0,"""ＰＰの消費量はテクニックごとに設定されており、<br>テクニックのＰＰ消費量に対して、現在のＰＰが少ない場合<br>画面のようなアイコンが表示され、テクニックが繰り出せません。"""
text09#0,"""ＰＰは時間経過、または通常攻撃をヒットさせることで回復します。<br>通常攻撃とテクニックをうまく組み合わせて戦いましょう。"""
text10#1,"""「ジェットブーツ」を装備時には<br>攻撃テクニックをチャージすることで、<br>攻撃範囲の拡大や属性を変化させる<br>ことができます。<br><br>さらにテクニックを放つことも可能です。<br>状況に応じて使い分けて戦いましょう。"""
text100#1,"""<%PhotonArts>でフォトンアーツを決めろ！"""
text101#1,"""<%PhotonArts>でテクニックを放て！"""
text1000#1,"""<%PhotonArts>でフォトンアーツを決めろ！"""
text1001#1,"""<%PhotonArts>でテクニックを放て！"""
