name01#0,"""힐다"""
name02#0,"""캐릭터 이동"""
skit00#0,"""튜토리얼을 진행하겠습니까?"""
skit01#0,"""튜토리얼을 진행한다"""
skit02#0,"""튜토리얼을 진행하지 않는다."""
11_voice_navi02_100#0,"""훈련용 학습 프로그램을 담당하는<br>힐다다."""
11_voice_navi02_101#0,"""시간이 아까우니<br>바로 시작하겠다.<br>먼저 이동방법을 확인하라."""
11_voice_navi02_102#0,""그럼 이쪽의 지정된 위치까지<br>이동하라. 조급하지마라."""
text01#0,"""튜토리얼<br>『캐릭터 조작방법』에 대해 설명하겠습니다."""
text02#0,"""캐릭터는<br>이하의 조작으로 움직입니다.<br><br>앞：<%MoveForward><br>뒤：<%MoveBack><br>왼쪽：<%MoveLeft><br>오른쪽：<%MoveRight>"""
text03#0,"""캐릭터는<br><yellow><%LStick><c>으로 이동합니다."""
text100#0,"""<%MoveForward>、<%MoveBack>、<%MoveLeft>、<%MoveRight>를 눌러, 목표지점까지 이동하라!"""
text101#0,"""<%LStick>을 조작하여, 목표지점까지 이동하라!"""
text1000#0,"""<%MoveForward><%MoveBack><%MoveLeft><%MoveRight>이동"""
text1001#0,"""<%LStick>로 이동하라!"""
text201#0,"""목표지점까지 이동하라!"""
text202#0,"""목표지점까지 이동하라!"""
text203#0,"""앞：<%MoveForward><br>뒤：<%MoveBack><br>왼쪽：<%MoveLeft><br>오른쪽：<%MoveRight>"""
text204#0,"""이동：<%LStick>"""
linewindow#0,"""<br>『카메라 조작』에 대해서<br>"""
text00#0,"""『카메라 조작』에 대해서"""
text01#1,"""튜토리얼<br>『카메라 조작』에 대해서 설명하겠습니다."""
text02#1,""">『카메라 조작』에 대해서 설명하겠습니다."""
text03#1,"""<yellow>마우스<c>를 움직여 주위를 둘러 볼 수 있습니다."""
text04#0,"""<yellow><%RStick><c>을 움직여 주위를 둘러 볼 수 있습니다."""
text05#0,"""<%LockOn_N>버튼으로 카메라를 표준 시점으로<br>리셋할 수 있습니다. ""
text06#0,"""<%LockOn_N>버튼으로 카메라를 표준 시점으로<br>리셋할 수 있습니다. """
text07#0,""통상 카메라의 설정을 변경하려면,<br>옵션에서 설정을 변경할 수 있습니다."""
text08#0,"""「표준」→「반전」으로 변경하면,<br>카메라의 조작이 반대로 됩니다.<br>설정은 각 계통의 무기마다 바꾸는것이 가능합니다.<br><br>자신에게 맞는 환경설정으로 사용합시다."""
