name01#0,"""Hilda"""
name02#0,"""Camera Movement"""
skit01#0,"""This planet has hostile native creatures that might appear at any moment."""
11_voice_navi02_000#0,"""Keep an eye on your surroundings."""
linewindow#0,"""<br>Camera Controls<br>"""
text00#0,"""Controlling the Camera"""
text01#0,"""Tutorial<br>Explaining Camera Controls."""
text02#0,"""This explains camera controls."""
text03#0,"""You can rotate the camera using the <yellow>mouse<c>.<br><br>You can reset the camera position by pressing <%LockOn_N>"""
text04#0,"""You can rotate the camera using the <yellow>mouse<c>.<br><br>You can reset the camera position by pressing <%LockOn_N>"""
text201#0,"""Move the camera and look around!"""
text202#0,"""Move the camera and look around!"""
text203#0,"""Move camera: Mouse"""
text204#0,"""Move camera: Right analog stick"""
