name01#0,"""ヒルダ"""
name02#0,"""Normale Angriffe"""
11_voice_navi02_103#0,"""Genug aufgewärmt.<br>Nun zeige ich dir,<br>wie man angreift."""
11_voice_navi02_104#0,"""さあ、実際に武器を使ってみるんだ。"""
text00#0,"""サモナーの『攻撃方法』について"""
text01#0,"""<c 00ffff>サモナーはタクトを使用し<br>ペットに命令を与えることで<br>攻撃を行う戦闘タイプです。<c><br><br><%NormalAttack>で、通常攻撃を命令します。<br>実際に攻撃してみましょう。"""
text100#0,"""Führe einen normalen Angriff mit <%NormalAttack> aus!"""
text1000#0,"""Führe einen normalen Angriff mit <%NormalAttack> aus!"""
text201#0,"""Führe einen normalen Angriff aus!"""
text202#0,"""Führe einen normalen Angriff aus!"""
text203#0,"""Angreifen： <%NormalAttack>"""
text204#0,"""Angreifen： <%NormalAttack>"""
Title#0,"""サモナーの『攻撃方法』について"""
text01#1,"""サモナーの『攻撃方法』について、説明します。<br><br><c 00ffff>サモナーはタクトを使い<br>ペットに命令を与えて攻撃を行う戦闘タイプです。<c><br><br><%NormalAttack>を押すことで、通常攻撃を命令します。<br>実際に攻撃を行ってみましょう。"""
