name01#0,"""힐다"""
name02#0,"""일반공격"""
11_voice_navi02_103#0,"""좋아, 워밍업은<br>충분한것 같군.<br>그럼, 공격에 대해 설명하겠다."""
11_voice_navi02_104#0,"""자. 실째로 무기를 사용해보는거다."""
text00#0,"""헌터의 『공격방법』에 대하여"""
text01#0,"""<c 00ffff>헌터는 타격무기가 특기인<br>전투타입 입니다.<c><br><br><%NormalAttack>버튼으로, 일반공격을 합니다.<br>실제로 공격해 봅시다."""
text100#0,"""<%NormalAttack>으로 일반공격을 하라!"""
text1000#0,"""<%NormalAttack>으로 일반공격을 하라!"""
text201#0,"""일반공격을 하라!"""
text202#0,"""일반공격을 하라!"""
text203#0,"""공격:<%NormalAttack>"""
text204#0,"""공격:<%NormalAttack>"""
11_voice_navi02_105#0,"""상당히 빠르게 적응하는군.<br>다음 배울것은<br>3단 연속 공격이다."""
11_voice_navi02_106#0,"""그럼, 타이밍에 맞춰서<br>3단 공격을 해보아라"""
text00#1,"""『연속공격』에 대하여"""
text01#1,"""튜토리얼<br>『연속공격』에 대하여 설명하겠습니다.<br><br><%NormalAttack>버튼을 연속으로 누르거나, 누르고 있으면,<br>3단 공격을 할 수 있습니다."""
text02#0,"""튜토리얼<br>『연속공격』에 대하여 설명하겠습니다.<br><br><%NormalAttack>버튼을 연속으로 누르거나, 누르고 있으면,<br>3단 공격을 할 수 있습니다."""
text03#0,"""튜토리얼<br>『연속공격』에 대하여 설명하겠습니다.<br><br><%NormalAttack>버튼을 연속으로 누르거나, 누르고 있으면,<br>3단 공격을 할 수 있습니다."""
text04#0,"""튜토리얼<br>『연속공격』에 대하여 설명하겠습니다.<br><br><%NormalAttack>버튼을 연속으로 누르거나, 누르고 있으면,<br>3단 공격을 할 수 있습니다."""
text05#0,"""튜토리얼<br>『연속공격』에 대하여 설명하겠습니다.<br><br><%NormalAttack>버튼을 연속으로 누르거나, 누르고 있으면,<br>3단 공격을 할 수 있습니다."""
text06#0,"""튜토리얼<br>『연속공격』에 대하여 설명하겠습니다.<br><br><%NormalAttack>버튼을 연속으로 누르거나, 누르고 있으면,<br>3단 공격을 할 수 있습니다."""
text100#1,"""<%NormalAttack>으로 3단공격을 하라!"""
text1000#1,"""<%NormalAttack>으로 3단공격을 하라!"""
11_voice_navi02_103#1,"""좋아, 워밍업은<br>충분한것 같군.<br>그럼, 공격에 대해 설명하겠다."""
11_voice_navi02_104#1,"""자. 실째로 무기를 사용해보는거다."""
text00#2,"""헌터의 『공격방법』에 대하여"""
text01#2,"""튜토리얼<br>헌터의 『공격방법』에 대하여,  설명하겠습니다.<br><br><c 00ffff>헌터는 타격무기가 특기인 전투타입 입니다.<c><br>타격무기「소드」를 사용한 훈련을 시작하겠습니다."""
text02#1,"""<%NormalAttack>버튼을 누르면, 일반공격을 합니다.<br>실제로 공격해 봅시다."""
text03#1,"""<%NormalAttack>버튼을 누르면, 일반공격을 합니다.<br>실제로 공격해 봅시다."""
text100#2,"""<%NormalAttack>으로 일반공격을 하라!"""
text1000#2,"""<%NormalAttack>으로 일반공격을 하라!"""
