name01#0,"""Hilda"""
name02#0,"""Switching Weapon"""
11_voice_navi02_123#0,"""Finally, we'll explain Weapon equipment and changes."""
11_voice_navi02_124#0,"""Try swapping weapons from what you're using now."""
text00#0,"""About Switching Weapons"""
text01#0,"""Tutorial<br>We'll explain weapon swapping."""
text02#0,"""You can <yellow>register multiple weapons<c> in the weapon palette and use them.<br><br>To swap weapons<br>Up: <%PaletteReverse><br>Down: <%PaletteForce><br>Confirm: <%Decide>"""
text03#0,"""You can <yellow>register multiple weapons<c> in the weapon palette and use them.<br><br>To swap weapons<br>Up: <%PaletteReverse><br>Down: <%PaletteForce><br>Confirm: <%Decide>"""
text05#0,"""Let's use the swapped equipment from the weapon palette."""
text100#0,"""Select with <%PaletteReverse> or <%PaletteForce>, then confirm with <%Decide>!"""
text1000#0,"""Select with <%PaletteReverse><%PaletteForce> then confirm with <%Access>!"""
text1001#0,"""Select with <%PaletteReverse> or <%PaletteForce>, then confirm with <%Decide>!"""
text201#0,"""Switch Equipment!"""
text202#0,"""Switch Equipment!"""
text203#0,"""Weapon Palette Select: <%PaletteReverse> or <%PaletteForce><br>Switch Weapon Palette: <%Decide>"""
text204#0,"""Weapon Palette Select: <%PaletteReverse> or <%PaletteForce><br>Switch Weapon Palette: <%Decide>"""
