text00#0,"""Acerca de la Buster Quest"""
text10#0,"""Acerca de Phases"""
text20#0,"""Acerca del soporte de Xiera"""
text30#0,"""Acerca de los ataques y armas del Devil Castle"""
text40#0,"""Acerca de las armas ARKS"""
text50#0,"""Acerca de los conjuntos de armas"""
text100#0,"""Volver"""
Title#0,"""Acerca de la Buster Quest"""
text01#0,"""Esta misión tiene como objetivo destruir el Devil Castle<br>Mientras protege las <c 00ffff>Buster Towers<c>.<br><br>Protege las torres durante la <c 00ffff>fase de defensa<c><br>Y durante la <c 00ffff>Buster Phase<c>, asaltarás el castillo.<br>Esto progresará alternando las fases repetidamente.<br><br>Entre las dos fases, habrá un <c 00ffff>tiempo de descanso<c><br>Para prepararse para cada transición de fase."""
text02#0,"""Puede comprobar el estado de sus fuerzas<br>Y las enemigas a través del <c 00ffff>Strength Gauge<c>.<br>Ganaremos si el <yellow>Devil Castle es destruido<c> o<br>si el tiempo se agota, y el indicador de, <yellow>Strength Gauge<c><br>es más alto que el enemigo.<br>El indicador de fuerza disminuirá si:<br><c 00ffff>◇Tus fuerzas<c><br>・La torre recibe daños<br><br><c 00ffff>◇Fuerzas Enemigas<c><br>・Devil Castle es destruido<br>・Castillo recibe daños"""
text03#0,"""Cuando un jugador no puede pelear,<br>Ellos son resucitados automáticamente<br>Desde un punto de retorno, después de<br>un período de tiempo.<br>Además, también es posible<br>Utilizar un Moon Atomizer."""
text04#0,"""Durante está misión, el <c 00ffff>Mana<c> podra<br>aparecer a lo largo del terreno.<br><br>Los siguientes efectos se generan automaticamente<br>se recolecta cierta cantidad de mana.<br><br>・La cantidad de Buster Piles que pueden<br>aparecer para destruir el Devil Castle (Hasta 4)<br>・Recuperación del HP de una Buster Tower"""
text05#0,"""<c 00ffff>Buster Piles<c> pueden destruir las devil barriers<br>creadas por el Devil Castle.<br><br>Se convocan automáticamente durante lahe<br>Buster Phase y destrullen las Devil Barriers.<br><br><c ff4f3f>Cuando todas las Buster Piles son convocadas<br>Golpean y destruyen las Devil Barriers,<br>o si son destruidas, la fase Buster finaliza<c>"""
