name01#0,"""ヒルダ"""
name02#0,"""アイテムの使い方"""
11_voice_navi02_014#0,"""回復手段についても<br>教えておこう。"""
text11#0,"""一時的に体力を低下させる。<br>所持しているモノメイトを使用し、<br>回復行動をしてみろ。"""
text00#0,"""Über 『HP-Wiederherstellung』"""
text01#0,"""Schaden<br>Wenn deine HP auf Null sinkt,<br>wirst du bewusstlos und kannst nicht kämpfen.<br><br>Wenn deine HP sinkt,<br>kann z.B. ein 「Monomate」<br>deine HP wiederherstellen."""
text02#0,"""<yellow>サブパレット<c>に登録されている<br>回復薬「モノメイト」を使ってみましょう。<br><br><%SubPalette>で、<br>サブパレットで選択中のアイテムを<br>使うことができます。<br><br><red>※サブパレットのカーソルは、<br>\u3000チュートリアル終了後から<c><br>\u3000<%SubPaletteLeft><red>と<c><%SubPaletteRight><red>で移動できます。<c>"""
text03#0,"""Pets haben auch HP,<br>welche bei Schaden sinkt.<br><br>Pets mit Null HP<br>können für eine Weile nicht kämpfen<br><br>Wenn ein Pet keine HP mehr hat,<br>kannst du zu einem anderen wechseln oder<br>die Wiederherstellungstechnik 「Resta」 benutzen."""
text04#0,"""<yellow>サブパレット<c>に登録されている<br>回復薬「モノメイト」を使ってみましょう。<br><br>「モノメイト」のアイコンを<br>タッチすることで使用することができます。"""
text100#0,"""Mit Monomate heilen!"""
text1000#0,"""Benutze Monomate von deiner <%SubPalette1>!"""
text1001#0,"""Benutze Monomate von deiner <%SubPalette>!"""
text201#0,"""Mit Monomate heilen!"""
text202#0,"""Mit Monomate heilen!"""
text203#0,"""Benutzen per Subpalette: <%SubPalette1>"""
text204#0,"""Benutzen per Subpalette:<%SubPalette>"""
text205#0,"""Benutzen per Subpalette: <br>Icon berühren"""
