name01#0,"""Hilda"""
name02#0,"""Weapon Action"""
name03#0,"""Switch Weapon Palette"""
11_voice_navi02_121#0,"""Hmm, you're getting good. Well then, let's try this."""
11_voice_navi02_122#0,"""Different weapons have different uses depending on the situation. Try them all as you like."""
text00_3b#0,"""About Weapon Action"""
text00#0,"""About Switching Weapons Palettes"""
text01#0,"""We'll explain Weapon Actions.<br><br>By pressing <%WeaponAction>, you can use the Weapon Action,<br>that is set in different weapons."""
text11#0,"""With <%WeaponAction>, weapon actions can be done.<br><br>The weapon action of a Sword, is <c 00ffff>Guard<c>.<br>By pressing <%WeaponAction>, you can guard against frontal attacks.<br><br>The damage is reduced, however you're vulnerable to attacks<br>other than the front."""
text11_3b#0,"""With <%MainPaletteC>, weapon actions can be done.<br><br>The weapon action of a Sword, is <c 00ffff>Guard<c>.<br>By pressing <%MainPaletteC>, you can guard against frontal attacks.<br><br>The damage is reduced, however you're vulnerable to attacks<br>other than the front."""
text21#0,"""While holding <%WeaponAction>, you can swap your weapon palettes.<br><br>When pressed, using <%NormalAttack> will instead use <yellow>another PA<c>."""
text21_3b#0,"""While holding <%WeaponAction_2>, you can swap your weapon palettes.<br><br>When pressed, using <%NormalAttack> will instead use <yellow>another PA<c>."""
text31#0,"""While holding <%WeaponAction>, you can swap your weapon palettes.<br><br>When pressed, using <%NormalAttack> will instead use <yellow>another Technique<c>."""
text31_3b#0,"""While holding <%WeaponAction_2>, you can swap your weapon palettes.<br><br>When pressed, using <%NormalAttack> will instead use <yellow>another Technique<c>."""
text41#0,"""While holding <%WeaponAction>, you can swap your weapon palettes.<br><br>When pressed, using <%NormalAttack> will instead use <yellow>another PA<c>."""
text41_3b#0,"""While holding <%WeaponAction_2>, you can swap your weapon palettes.<br><br>When pressed, using <%NormalAttack> will instead use <yellow>another PA<c>."""
text51#0,"""With <%WeaponAction>, weapon actions can be done.<br><br>If you're using Jet Boots, pressing <%WeaponAction> will instead<br>activate the <c 00ffff>Switch Action<c>.<br><br>Attacks can be avoided during the switch action.<br><br>If you perform a switch action during an attack,<br>the attack action changes."""
text51_3b#0,"""With <%MainPaletteC>, weapon actions can be done.<br><br>If you're using Jet Boots, pressing <%MainPaletteC> will instead<br>activate the <c 00ffff>Switch Action<c>.<br><br>Attacks can be avoided during the switch action.<br><br>If you perform a switch action during an attack,<br>the attack action changes."""
text61#0,"""While holding <%WeaponAction>, you can swap your weapon palettes.<br><br>When pressed, using <%NormalAttack> will instead use <yellow>another PA<c>."""
