name01#0,"""힐다"""
name02#0,"""회피기동"""
11_voice_navi02_118#0,"""자 그럼, 지금부터는 실전전술이다.<br>전투를 유리하게 하기 위한 것이다.""
11_voice_navi02_119#0,"""방어는 최고의 공격.<br>먼저, 에너미의 공격을 회피하는 방법이다."""
11_voice_navi02_120#0,"""좋아, 이것도 이론보다는 실전이다.<br>실제로 피해보아라."""
text00#0,"""『회피방법』에 대하여"""
text01#0,"""<%Avoid>버튼으로<br>회피 액션을 할 수 있습니다.<br><br>적의 공격이나 트랩같은것을,<br>타이밍에 맞게 회피합시다."""
text02#0,"""<%LStick>＋<%Avoid>버튼을 짫게 누르면,<br>회피 액션을 할 수 있습니다.<br><br>적의 공격이나 트랩같은것을,<br>타이밍에 맞게 회피합시다."""
text100#0,"""이동키를 2번눌러 회피하라!"""
text101#0,"""<%Avoid>로 회피하라!"""
text1000#0,""이동키를 2번눌러 회피하라!""""
text1001#0,"""<%Avoid>로 회피하라!"""
text201#0,"""회피하라!"""
text202#0,"""회피하라!"""
text203#0,"""회피：이동키를 2번 누른다."""
text204#0,"""회피：<%Avoid>"""
text205#0,"""회피：<%LStick>＋<%Avoid>"""
11_voice_navi02_118#1,"""자 그럼, 지금부터는 실전전술이다.<br>전투를 유리하게 하기 위한 것이다."""
11_voice_navi02_119#1,"""방어는 최고의 공격.<br>먼저, 에너미의 공격을 회피하는 방법이다."""
11_voice_navi02_120#1,"""좋아, 이것도 이론보다는 실전이다.<br>실제로 피해보아라."""
text00#1,"""『회피방법』에 대하여"""
text01#1,"""튜토리얼<br>캐릭터의『회피방법』에 대해 설명하겠습니다."""
text02#1,"""같은 방향키를 연속으로 2번 누르면, 캐릭터가<br>해당 방향으로 회피합니다.<br><br>장비하고있는 무기에 따라 회피 액션이 변화합니다."""
text03#0,"""<%Avoid>버튼을 누르면, 캐릭터가<br>이동방향으로 회피합니다.<br><br>장비하고있는 무기에 따라 회피 액션이 변화합니다."""
text100#1,"""이동키를 2번 눌러 회피하라!"""
text101#1,"""<%Avoid>로 회피하라!"""
text1000#1,"""이동키를 2번 눌러 회피하라!"""
text1001#1,"""<%Avoid>로 회피하라!"""
