name01#0,"""힐다"""
name02#0,"""공격대상을 포착하는 방법"""
linewindow#0,"""<br>『록온』에 대해서<br>"""
text00#0,"""『록온』에 대해서"""
text01#0,"""「록온」에 대해 설명하겠습니다."""
text02#0,"""<%LockOn_N>버튼을 계속 누르고 있으면 정면에 있는<br>공격대상에 화면 내에 계속 포착하여<br>공격하기가 쉬워집니다.<br><%LockOn>버튼을 놓으면 록온을 해제할 수 있습니다."""
text03#0,"""<%LockOn_N>버튼을 계속 누르고 있으면 정면에 있는<br>공격대상을 화면 내에 계속 포착하여<br>공격하기가 쉬워집니다.<br><%LockOn_N>버튼을 놓으면 록온을 해제할 수 있습니다.<br><br><yellow>▼<#GamePad>조작으로<c><br>록온중에<%RStick>을 다른방향으로 <br>입력하여, 록온대상을<br>전환할 수 있습니다.<br>※공격 대상이 다수 존재하는 경우에만"""
text05#0,"""<%LockOn_N>버튼을 계속 누르고 있으면 정면에 있는<br>공격대상에 화면 내에 계속 포착하여<br>공격하기가 쉬워집니다.<br><%LockOn_N>버튼을 놓으면 록온을 해제할 수 있습니다.<br><br>록온중에<%RStick>을 다른방향으로<br>입력하여, 록온대상을<br>전환할 수 있습니다.<br>※공격 대상이 다수 존재하는 경우에만"""
text201#0,"""에너미를 처치하라!"""
text202#0,"""에너미를 처치하라!"""
text203#0,"""록온：<%LockOn_N>버튼을 길게 누르기"""
text204#0,"""록온：<%LockOn_N>버튼을 길게 누르기"""
text04#0,"""옵션의 기능설정 화면에서<br>・원 푸시 조작<br>・<br>위의 조작 방법을 선택할<br>수 있습니다.<br><br>공격대상이 없을때<br>록온조작을 하면<br>카메라의 시점을 캐릭터가<br>보고있는 방향으로 맞출<br>수 있습니다."""
