name01#0,"""힐다"""
11_voice_navi02_105#0,"""상당히 빠르게 적응하는군.<br>다음 배울것은<br>3단 연속 공격이다."""
11_voice_navi02_106#0,"""그럼, 타이밍에 맞춰서<br>3단 공격을 해보아라"""
text00#0,"""『연속공격』에 대하여"""
text01#0,"""튜토리얼<br>『연속공격』에 대하여 설명하겠습니다.<br><br><%NormalAttack>버튼을 연속으로 누르거나, 누르고 있으면,<br>3단 공격을 할 수 있습니다."""
text02#0,"""튜토리얼<br>『연속공격』에 대하여 설명하겠습니다.<br><br><%NormalAttack>버튼을 연속으로 누르거나, 누르고 있으면,<br>3단 공격을 할 수 있습니다."""
text03#0,"""튜토리얼<br>『연속공격』에 대하여 설명하겠습니다.<br><br><%NormalAttack>버튼을 연속으로 누르거나, 누르고 있으면,<br>3단 공격을 할 수 있습니다."""
text04#0,"""튜토리얼<br>『연속공격』에 대하여 설명하겠습니다.<br><br><%NormalAttack>버튼을 연속으로 누르거나, 누르고 있으면,<br>3단 공격을 할 수 있습니다."""
text05#0,"""튜토리얼<br>『연속공격』에 대하여 설명하겠습니다.<br><br><%NormalAttack>버튼을 연속으로 누르거나, 누르고 있으면,<br>3단 공격을 할 수 있습니다."""
text06#0,"""튜토리얼<br>『연속공격』에 대하여 설명하겠습니다.<br><br><%NormalAttack>버튼을 연속으로 누르거나, 누르고 있으면,<br>3단 공격을 할 수 있습니다."""
text07#0,"""튜토리얼<br>『연속공격』에 대하여 설명하겠습니다.<br><br><%NormalAttack>を버튼을 연속으로 누르거나, 누르고 있으면,<br>3단 공격을 할 수 있습니다."""
text08#0,"""튜토리얼<br>『연속공격』에 대하여 설명하겠습니다.<br><br><%NormalAttack>버튼을 연속으로 누르거나, 누르고 있으면,<br>3단 공격을 할 수 있습니다."""
text09#0,"""튜토리얼<br>『연속공격』에 대하여 설명하겠습니다.<br><br><%NormalAttack>を버튼을 연속으로 누르거나, 누르고 있으면,<br>3단 공격을 할 수 있습니다."""
text10#0,"""튜토리얼<br>『연속공격』에 대하여 설명하겠습니다.<br><br><%NormalAttack>버튼을 연속으로 누르거나, 누르고 있으면,<br>3단 공격을 할 수 있습니다."""
text100#0,"""<%NormalAttack>으로 3단공격을 하라!"""
text1000#0,"""<%NormalAttack>으로 3단공격을 하라!"""
