name01#0,"""ヒルダ"""
name02#0,"""Normale Angriffe"""
11_voice_navi02_103#0,"""Genug aufgewärmt.<br>Nun zeige ich dir,<br>wie man angreift."""
11_voice_navi02_104#0,"""さあ、実際に武器を使ってみるんだ。"""
text00#0,"""フォースの『攻撃方法』について"""
text01#0,"""<c 00ffff>フォースは法撃武器を得意とする<br>戦闘タイプです。<c><br><br><%NormalAttack>で、通常攻撃を行います。<br>実際に攻撃してみましょう。"""
text100#0,"""Führe einen normalen Angriff mit <%NormalAttack> aus!"""
text1000#0,"""Führe einen normalen Angriff mit <%NormalAttack> aus!"""
text201#0,"""Führe einen normalen Angriff aus!"""
text202#0,"""Führe einen normalen Angriff aus!"""
text203#0,"""Angreifen： <%NormalAttack>"""
text204#0,"""Angreifen： <%NormalAttack>"""
11_voice_navi02_105#0,"""Du findest dich schnell ein.<br>Nun lernst du wie man<br>3-fach Kombos ausführt."""
11_voice_navi02_106#0,"""Probiere eine 3-fach Kombo<br>mit dem richtigen Timing auszuführen."""
text00#1,"""Über 『Kombo Angriffe』"""
text01#1,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連続で押す、または押し続けることで、<br>３段攻撃を行います。"""
text02#0,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連続で押す、または押し続けることで、<br>３段攻撃を行います。"""
text03#0,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連続で押す、または押し続けることで、<br>３段攻撃を行います。"""
text04#0,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連続で押す、または押し続けることで、<br>３段攻撃を行います。"""
text05#0,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連続で押す、または押し続けることで、<br>３段攻撃を行います。"""
text06#0,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連続で押す、または押し続けることで、<br>３段攻撃を行います。"""
text100#1,"""<%NormalAttack>で３段攻撃を決めろ！"""
text1000#1,"""<%NormalAttack>で３段攻撃を決めろ！"""
11_voice_navi02_103#1,"""Genug aufgewärmt.<br>Nun zeige ich dir,<br>wie man angreift."""
11_voice_navi02_104#1,"""さあ、実際に武器を使ってみるんだ。"""
text00#2,"""フォースの『攻撃方法』について"""
text01#2,"""チュートリアル<br>フォースの『攻撃方法』について、説明します。<br><br><c 00ffff>フォースは法撃武器を得意とする戦闘タイプです。<c><br>法撃武器「ロッド」を使った訓練を開始します。"""
text02#1,"""<%NormalAttack>を押すことで、通常攻撃を行います。<br>実際に攻撃を行ってみましょう。"""
text03#1,"""<%NormalAttack>を押すことで、通常攻撃を行います。<br>実際に攻撃を行ってみましょう。"""
text100#2,"""Führe einen normalen Angriff mit <%NormalAttack> aus!"""
text1000#2,"""Führe einen normalen Angriff mit <%NormalAttack> aus!"""
