name01#0,"""Hilda"""
name02#0,"""Using Charged Techniques"""
11_voice_navi02_109#0,"""Continuing, you can charge techniques into a charged technique."""
text00#0,"""About 「Charged Techniques」"""
text01#0,"""If you press and hold <%PhotonArts>,<br>you can charge up a technique<br>and make it stronger, then release.<br><br>When charging up the technique,<br>its power and range increase depending<br>on the technique."""
text100#0,"""Hold <%PhotonArts> to charge up a technique and release it!"""
text1000#0,"""Continue to hold <%PhotonArts> to charge."""
text201#0,"""Release the Technique!"""
text202#0,"""Release the Technique!"""
text203#0,"""Charge Technique：<br>Press and hold <%PhotonArts> and release"""
text204#0,"""Charge Technique：<br>Long press <%PhotonArts> and release"""
11_voice_navi02_109#1,"""Continuing, you can charge techniques into a charged technique."""
text00#1,"""About 「Charged Techniques」"""
text01#1,"""チュートリアル<br>『チャージテクニック』について説明します。<br><br>テクニックはただ発動するだけでなく、<br>長押しすることで力を溜め、威力や効果範囲を高めた<br>チャージテクニックを放つことができます。"""
text02#0,"""チャージテクニックは、威力が上がるだけでなく<br>種類によっては、効果範囲や効果回数が増します。<br><br>炎攻撃テクニック「フォイエ」の場合は、<br>爆発範囲と威力が大幅にアップします。<br>多くの敵を巻き込んで戦う場合に有効といえます。"""
text03#0,"""回復テクニック「レスタ」の場合は、<br>回復範囲と回復回数が大幅にアップします。<br><br>複数人数でのパーティープレイにおいて、重宝されます。"""
text04#0,"""チャージテクニックは消費するＰＰが<br>通常のテクニック発動時と変わりません。<br>ＰＰを消費しやすいフォースは、チャージテクニックを<br>活用することで、うまく立ち回ることができるでしょう。"""
text100#1,"""Hold <%PhotonArts> to charge up a technique and release it!"""
text1000#1,"""Continue to hold <%PhotonArts> to charge and release!"""
