name01#0,"""힐다"""
name02#0,"""캐릭터 점프"""
11_voice_navi02_111#0,"""おあつらえ向きだ。<br>도약기동에 대해 확인하도록."""
11_voice_navi02_113#0,"""앞에 있는 블록을 넘어서,<br>지정한 위치까지 이동하여라."""
text01#0,"""<%Jump>버튼으로 점프합니다.<br><%Jump>을 길게 누르면,<br>더 높게 점프합니다.<br><br>점프를 하면 계단에 올라가거나<br>공중에 있는 적을 공격 할 수 있습니다."""
text02#0,"""<%Jump>버튼으로 점프합니다.<br><%Jump>을 길게 누르면,<br>>더 높게 점프합니다.<br><br>점프를 하면 계단에 올라가거나<br>공중에 있는 적을 공격 할 수 있습니다."""
text100#0,"""<%Jump>로 블럭을 뛰어넘어 진행하여라!"""
text1000#0,"""<%Jump>로 블럭을 뛰어넘어 진행하여라!"""
text201#0,"""점프로 올라가라!"""
text202#0,"""점프로 올라가라!"""
text203#0,"""점프：<%Jump>"""
text204#0,"""점프：<%Jump>"""
