name_7705#0,"""Lynce"""
ssn_014420_0001#0,"""เพราะคุณแท้ๆ คนไข้ทุกคนถึงได้มีความสุขกันมากเลย รู้สึกซาบซึ้งในความช่วยเหลือของคุณจริงๆ"""
ssn_014420_0002#0,"""ถ้ามีอะไรให้ช่วยก็บอกมาได้เลยนะ"""
ssn_014420_0101#0,"""ขอบใจสำหรับเมื่อกี้นะ ช่วยได้มากเลยล่ะ"""
ssn_014420_0102#0,"""ที่จริงแล้วมีเรื่องอยากจะขอให้ช่วยอีกเรื่องนึง ถ้าไม่รังเกียจล่ะก็นะ..."""
ssn_014420_0103#0,"""ครั้งนี้อยากให้ช่วยหาอาหารประเภทอื่นมาให้หน่อยน่ะ จะยินดีช่วยไหม?"""
ssn_014420_0201#0,"""คงจะยุ่งมากสินะ ถ้าแวะมาหาได้อีกก็คงจะดีไม่น้อยเลยล่ะ"""
ssn_014420_0301#0,"""คราวนี้อยากให้ไปหาผักมาให้น่ะ ยิ่งสดก็ยิ่งดีเลย"""
ssn_014420_0302#0,"""ถ้าเราให้คนไข้ได้รับสารอาหารที่เหมาะสม พวกเขาก็จะหายดีเร็วขึ้น"""
ssn_014420_0303#0,"""เพราะงั้น... คิดว่าน่าจะหาได้ที่ South Retem นะ แต่อย่าฝืนตัวเองล่ะ"""
ssn_014420_0401#0,"""โอ้ เก็บมาเยอะเลย จำไม่ได้แล้วว่าเห็นของสดๆ แบบนี้ครั้งล่าสุดเมื่อไหร่"""
ssn_014420_0402#0,"""เหมือนครั้งที่แล้วเลย ช่วยเอาไปให้ Marlynn หน่อยจะได้ไหม? ขอบใจนะ!"""
ssn_014420_0501#0,"""สิ่งนี้จะช่วยให้ทุกคนฟื้นตัวได้ดีเลย ไม่รู้จะขอบคุณยังไงดี..."""
ssn_014420_0502#0,"""ทำได้ดีมากเลยนะ แล้วก็อย่าลืมดูแลตัวเองด้วยล่ะ"""
