ssc_508030_0010#0,"""เหวอ... อ้าว <%me> นี่เอง"""
ssc_508030_0020#0,"""คิดว่าเป็น<br>ศัตรูซะอีกแน่ะ"""
ssc_508030_0030#0,"""ผมมักจะต้องให้ไทวาส (Taivas) กับคนอื่นๆ<br>มาช่วยเสมอเลยเวลาเจอสถานการณ์แบบนั้นน่ะ"""
ssc_508030_0040#0,"""พวกเขาทุกคนเก่งเรื่องการต่อสู้มาก ในขณะที่ผมน่ะเหรอ<br>มัวแต่ไปสนใจแร่สวยๆ งามๆ มากเกินไปน่ะสิ"""
ssc_508030_0050#0,"""...แต่เอาเถอะ พอเรื่องนั้นไว้แค่นี้ดีกว่า"""
ssc_508030_0060#0,"""เจออะไรที่นี่งั้นเหรอ?"""
ssc_508030_0070#0,"""ยังสืบสวนอยู่อีกเหรอ?"""
ssc_508030_0080#0,"""ไม่มีอะไรเป็นพิเศษหรอก ไม่เลย"""
ssc_508030_0090#0,"""ผมก็แค่กำลังเพลิดเพลินกับวิวทิวทัศน์น่ะ"""
ssc_508030_0100#0,"""เปล่าครับ วันนี้ผมมาทำ<br>อย่างอื่นเพื่อเปลี่ยนบรรยากาศบ้างน่ะ"""
ssc_508030_0110#0,"""การเอาแต่อุดอู้อยู่แต่ในห้องทั้งวัน<br>มันทำให้สมองตื้อน่ะครับ"""
ssc_508030_0120#0,"""ช่วงนี้เอาแต่คิดเรื่อง<br>เซ็นทรัลแคนนอน (Central Cannon) อยู่บ่อยๆ น่ะ"""
ssc_508030_0130#0,"""การปรับแต่งเซ็นทรัลแคนนอน (Central Cannon) ของเอลิโอ (Aelio) ส่วนใหญ่<br>อาศัยข้อมูลจากปืนใหญ่ของลอสต์เซ็นทรัล (Lost Central) น่ะครับ"""
ssc_508030_0140#0,"""ปืนใหญ่ทั้งสองกระบอกนี้มีความคล้ายคลึงกันมากเลยล่ะ"""
ssc_508030_0150#0,"""พวกมันมีจำนวนเครื่องกำเนิด Photon เท่ากัน หน่วยเก็บประจุ<br>ของพวกมันก็สามารถกักเก็บ Photon ได้ในปริมาณที่ใกล้เคียงกัน..."""
ssc_508030_0160#0,"""ถึงแม้สเปกจะแตกต่างกันค่อนข้างมาก แต่<br>พวกมันก็ถูกสร้างขึ้นมาจากพื้นฐานที่แทบจะเหมือนกันเลยล่ะครับ"""
ssc_508030_0170#0,"""ดังนั้น ปัญหาของปืนใหญ่แห่งเอลิโอ (Aelio) จึงแทบจะ<br>ได้รับการแก้ไขทั้งหมดโดยการตรวจสอบปืนใหญ่ของลอสต์เซ็นทรัล (Lost Central)"""
ssc_508030_0180#0,"""...ซึ่งก็หมายความว่า..."""
ssc_508030_0190#0,"""มีความเป็นไปได้ว่าจะมีแผนการบางอย่างในการผลิตปืนใหญ่<br>จำนวนมาก แบบเดียวกับที่พบในเซ็นทรัลซิตี้ (Central City) น่ะครับ"""
ssc_508030_0200#0,"""ทั้งลอสต์เซ็นทรัล (Lost Central) และเซ็นทรัลซิตี้ (Central City) เอง<br>ก็มีความคล้ายคลึงกันอย่างไม่น่าเชื่อมาตั้งแต่แรกแล้วล่ะ"""
ssc_508030_0210#0,"""ไม่ใช่แค่รูปลักษณ์ภายนอกเท่านั้น<br>แต่โครงสร้างของเมืองก็ด้วย"""
ssc_508030_0220#0,"""เซ็นทรัลซิตี้ (Central City) ถูกสร้างขึ้นโดยใช้ลอสต์เซ็นทรัล (Lost Central) เป็นต้นแบบน่ะ"""
ssc_508030_0230#0,"""มันก็เลยคล้ายกันอย่างเห็นได้ชัด แต่ว่า 'พวกเรา' ไม่ได้เป็นคนออกแบบมันหรอกนะ"""
ssc_508030_0240#0,"""โครงสร้างพื้นฐานของเซ็นทรัลซิตี้ (Central City) เป็นเพียงการนำเอา<br>สิ่งที่มีอยู่แล้วตั้งแต่แรกมาใช้ใหม่เท่านั้นเอง"""
ssc_508030_0250#0,"""'ใครบางคน' ได้ทำพิมพ์เขียวเอาไว้แล้ว มันเป็นเพียงแค่<br>การรวบรวมวัสดุและสร้างเมืองขึ้นมาเท่านั้นครับ"""
ssc_508030_0260#0,"""...รู้ไหม เมื่อไม่กี่วันก่อน มีการค้นพบ<br>ตู้คอนเทนเนอร์ขนาดใหญ่อยู่ใต้เมืองรีเทม (Retem City) ด้วยล่ะ"""
ssc_508030_0270#0,"""ภายในตู้คอนเทนเนอร์นั้นมี<br>ชิ้นส่วนสำหรับเซ็นทรัลแคนนอน (Central Cannon) อยู่ด้วย"""
ssc_508030_0280#0,"""ขอย้ำอีกครั้งนะ ว่ารูปแบบและรุ่นของมันแทบจะเหมือนกับ<br>ปืนใหญ่ในเอลิโอ (Aelio) และควาริส (Kvaris) ทุกประการเลยล่ะ"""
ssc_508030_0290#0,"""เมืองรีเทม (Retem City) อาจจะดูเป็นอย่างที่มันเป็นอยู่ในตอนนี้..."""
ssc_508030_0300#0,"""แต่บางทีพวกเขาอาจจะมีแผนที่จะ<br>สร้างมันให้เป็นเซ็นทรัลซิตี้ (Central City) อีกแห่งหนึ่งก็ได้นะ"""
ssc_508030_0310#0,"""สร้างงั้นเหรอ? 'พวกเขา' ที่ว่าคือใครกันล่ะ?"""
ssc_508030_0320#0,"""บรรพบุรุษของรีเทม (Retem) ทำอย่างงั้นเหรอ?"""
ssc_508030_0330#0,"""...เอ่อ นั่น... เป็นคำถามที่น่าสนใจเลยล่ะ"""
ssc_508030_0340#0,"""ไม่หรอก ผมไม่คิดว่าเป็นอย่างนั้นนะ"""
ssc_508030_0350#0,"""'ใครบางคน' ที่แตกต่างไปจาก<br>ผู้คนที่อาศัยอยู่บนฮาลฟา (Halpha) ในทุกวันนี้ครับ"""
ssc_508030_0360#0,"""ตัวตนที่เคยอาศัยอยู่บนฮาลฟา (Halpha) แต่จู่ๆ ก็หายตัวไป<br>ทิ้งโครงสร้างอันยิ่งใหญ่ของพวกเขาเอาไว้เบื้องหลัง..."""
ssc_508030_0370#0,"""พวกเราคิดมาตลอดว่าพวกเขามีตัวตนอยู่จริง แต่จนกระทั่งเมื่อไม่นานมานี้<br>พวกเราก็ไม่สามารถเติมเต็มช่องว่างที่หายไปได้เลย"""
