ssc_508040_0010#0,"""...ฟู่"""
ssc_508040_0020#0,"""มาทำอะไรอยู่ข้างนอกนี่เหรอ?"""
ssc_508040_0030#0,"""วันนี้กำลังสืบสวนอะไรอยู่เหรอ?"""
ssc_508040_0040#0,"""หืม?"""
ssc_508040_0050#0,"""อ้า เธอนั่นเอง"""
ssc_508040_0060#0,"""หืม?"""
ssc_508040_0070#0,"""อ้า เธอนั่นเอง ถามว่ากำลังสืบสวนอะไรอยู่งั้นเหรอ?"""
ssc_508040_0080#0,"""กำลังตรวจสอบสภาพของ<br>หน่วยควบคุมสภาพแวดล้อม (Environmental Control Unit) อยู่น่ะ"""
ssc_508040_0090#0,"""หน่วยควบคุมสภาพแวดล้อม (Environmental Control Unit) เหรอ?"""
ssc_508040_0100#0,"""...?"""
ssc_508040_0110#0,"""อื้ม ก็แบบว่า..."""
ssc_508040_0120#0,"""อ้อ ขอโทษทีนะ"""
ssc_508040_0130#0,"""อุปกรณ์ขนาดยักษ์พวกนั้นที่<br>เรียงรายอยู่ตามชายแดนของทุกภูมิภาคไงล่ะ"""
ssc_508040_0140#0,"""ดูเหมือนว่าสิ่งเหล่านั้น<br>จะทำหน้าที่จัดการสภาพแวดล้อมของฮาลฟา (Halpha) น่ะ"""
ssc_508040_0150#0,"""ถึงแม้พวกเราจะทึกทักไปเองมาตลอด<br>ว่านั่นคือสิ่งที่พวกมันทำก็เถอะ"""
ssc_508040_0160#0,"""แต่ต้องขอบคุณข้อมูลที่ได้รับจากชาวเลเซียล (Lecielan)<br>ตอนนี้พวกเราเลยรู้รายละเอียดเกี่ยวกับพวกมันมากขึ้นแล้วล่ะ"""
ssc_508040_0170#0,"""ดูเหมือนว่าจะมีอุปกรณ์ที่คล้ายคลึงกันนี้<br>ถูกติดตั้งไว้กลางทะเลเปิดด้วยล่ะ"""
ssc_508040_0180#0,"""ไม่เคยเห็นอะไรแบบนั้นมาก่อนเลยแฮะ"""
ssc_508040_0190#0,"""งั้นเราก็ไม่สามารถออกไปไกลเกินกว่ามหาสมุทรได้เลยเหรอ?"""
ssc_508040_0200#0,"""ก็นะ คงจะไม่ได้ออกไปเห็นหรอก"""
ssc_508040_0210#0,"""อื้ม ดูเหมือนว่าจะเป็นอย่างนั้น..."""
ssc_508040_0220#0,"""สภาพแวดล้อมของเกาะนี้ทั้งเกาะ<br>ถูกจัดการผ่านเลเซียล (Leciel) ทั้งหมดเลยล่ะ"""
ssc_508040_0230#0,"""ไกลออกไปจากเกาะ องค์ประกอบของชั้นบรรยากาศ<br>จะไม่เหมาะสมให้พวกเราหายใจน่ะ"""
ssc_508040_0240#0,"""ดังนั้น พวกเราก็เลยไม่สามารถออกไปจากที่นี่ได้ไงล่ะ"""
ssc_508040_0250#0,"""อ้อ ว่าแต่ คำว่า 'เกาะ' เป็นคำที่ใช้เรียก<br>ผืนดินที่พวกเรากำลังยืนอยู่ตอนนี้นะ"""
ssc_508040_0260#0,"""พวกชาวเลเซียล (Lecielan) มักจะเรียกมันด้วยชื่ออย่าง<br>'เกาะฮาลฟา (Halpha Island)' และ 'เกาะศูนย์กลาง (Central Island)' น่ะ"""
ssc_508040_0270#0,"""...และเมื่อพิจารณาจากบริบทแล้ว ก็..."""
ssc_508040_0280#0,"""ดูเหมือนว่าจะมีเกาะอีกหลายแห่งที่คล้ายคลึงกับเกาะนี้<br>ซึ่งถูกพัฒนาขึ้นมาโดยพวก Resurgent ARKS นะ"""
ssc_508040_0290#0,"""ซึ่งเกาะส่วนใหญ่นั้นถือว่า<br>ไม่สามารถใช้งานได้และถูกทอดทิ้งไปล่ะ"""
ssc_508040_0300#0,"""เกาะทดลองบางแห่ง<br>เพิ่งจะถูกค้นพบเมื่อไม่นานมานี้เอง"""
ssc_508040_0310#0,"""รู้สึกว่าน่าจะถูกเรียกว่า<br>'Creative Spaces' หรืออะไรประมาณนั้นน่ะ"""
ssc_508040_0320#0,"""เกาะเหล่านั้นหลายแห่งสามารถ<br>เดินทางไปถึงได้ด้วยอุปกรณ์ริวเกอร์ (Ryuker Device) นะ"""
ssc_508040_0330#0,"""ก็นะ สมมติว่ามี<br>ที่อยู่ปลายทางที่ถูกต้องล่ะก็นะ"""
ssc_508040_0340#0,"""ลองไปเยือนเกาะพวกนั้นดูบ้างหรือยังล่ะ?"""
ssc_508040_0350#0,"""เคยไปแล้วล่ะ"""
ssc_508040_0360#0,"""ยังเลย"""
ssc_508040_0370#0,"""เข้าใจล่ะ"""
ssc_508040_0380#0,"""ถ้าได้ไปล่ะก็ จะรอติดตามดู<br>ผลงานสร้างสรรค์ของเธอเลยล่ะ"""
ssc_508040_0390#0,"""ถ้าสร้างผลงานอะไรที่นั่นเสร็จแล้ว<br>หวังว่าจะเอามาให้ดูบ้างนะ"""
